"S0120-99652014000100006-col","Evaluation of various conventional methods for sampling weeds in potato and spinach crops","Jamaica, David, Plaza, Guido","Agronomía Colombiana; 32(1); 36-43","Agronomía Colombiana","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652014000100006&lang=pt" 
"S0120-99652014000100007-col","Ethylene and 1-MCP affect the postharvest behavior of yellow pitahaya fruits (Selenicereus megalanthus Haw.)","Deaquiz, Yuli Alexandra, Álvarez-Herrera, Javier, Fischer, Gerhard","Agronomía Colombiana; 32(1); 44-51","Agronomía Colombiana","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652014000100007&lang=pt" 
"S0120-99652014000100008-col","Sorption isotherms for oat flakes (Avena sativa L.)","Zapata M., José Edgar, Quintero C., Oscar Albeiro, Porras B., Luis Danilo","Agronomía Colombiana; 32(1); 52-58","Agronomía Colombiana","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652014000100008&lang=pt" 
"S0120-99652014000100009-col","Nutrient uptake of the criolla potato (Solanum phureja var. Galeras) for the determination of critical nutritional levels","Torres B., Jaime, Suarez M., Carlos A.","Agronomía Colombiana; 32(1); 59-69","Agronomía Colombiana","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652014000100009&lang=pt" 
"S0120-99652014000100017-col","Reappraising the multiple functions of traditional agriculture within the context of building rural development investigative skills","Álvaro, Rivas G., Quintero V., Heimar","Agronomía Colombiana; 32(1); 130-137","Agronomía Colombiana","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652014000100017&lang=pt" 
"S0120-99652014000100016-col","Critical reflections on the New Rurality and the rural territorial development approaches in Latin America","Ramírez-Miranda, César","Agronomía Colombiana; 32(1); 122-129","Agronomía Colombiana","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652014000100016&lang=pt" 
"S0120-99652014000100015-col","Characterization and typification of citrus production systems in the department of Meta","Cleves-Leguízamo, José Alejandro, Jarma-Orozco, Alfredo","Agronomía Colombiana; 32(1); 113-121","Agronomía Colombiana","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652014000100015&lang=pt" 
"S0120-99652014000100014-col","Tree-ring growth and hydro-climatic variability in temperate dendrochronologies of northern Mexico","Návar, José, Lizárraga-Mendiola, Liliana","Agronomía Colombiana; 32(1); 103-112","Agronomía Colombiana","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652014000100014&lang=pt" 
"S0120-99652014000100013-col","Determination of an efficient irrigation schedule for the cultivation of rose cv. Freedom under greenhouse conditions in Colombia","Arévalo, Jhon Jairo, Vélez S., Javier Enrique, Intrigliolo, Diego Sebastiano","Agronomía Colombiana; 32(1); 95-102","Agronomía Colombiana","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652014000100013&lang=pt" 
"S0120-99652014000100012-col","Near-infrared (NIR) diffuse reflectance spectroscopy for the prediction of carbon and nitrogen in an Oxisol","Camacho-Tamayo, Jesús H., Rubiano S., Yolanda, Hurtado S., Maria del Pilar","Agronomía Colombiana; 32(1); 86-94","Agronomía Colombiana","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652014000100012&lang=pt" 
"S0120-99652014000100011-col","Technical evaluation of the fertilization of flue cured tobacco farming in Campoalegre and Garzon, Huila","Hoyos, Verónica, Plaza, Guido","Agronomía Colombiana; 32(1); 78-85","Agronomía Colombiana","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652014000100011&lang=pt" 
"S0120-99652014000100010-col","Effect of edaphic and foliar applications of different doses of zinc on the yield of the Criolla Colombia cultivar","López, Andrés, Gómez, Manuel Iván, Rodríguez, Luis Ernesto","Agronomía Colombiana; 32(1); 70-77","Agronomía Colombiana","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652014000100010&lang=pt" 
