"S0034-77442012000800006-cri","Global Model selection for evaluation of Climate Change projections in the Eastern Tropical Pacific Seascape","Hidalgo, Hugo G., Alfaro, Eric J.","Revista de Biología Tropical; 60(); 67-81","Revista de Biología Tropical","Inglês","2012","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442012000800006&lang=pt" 
"S0034-77442012000800007-cri","Revisión y comparación de escenarios de cambio climático para el Parque Nacional Isla del Coco, Costa Rica","Maldonado, Tito, Alfaro, Eric","Revista de Biología Tropical; 60(); 83-112","Revista de Biología Tropical","Espanhol","2012","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442012000800007&lang=pt" 
"S0034-77442012000800008-cri","Actividades socioeconómicas en el Parque Nacional Isla del Coco, Costa Rica y posibles efectos de la variabilidad climática","Moreno-Díaz, Mary Luz","Revista de Biología Tropical; 60(); 113-129","Revista de Biología Tropical","Espanhol","2012","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442012000800008&lang=pt" 
"S0034-77442012000800009-cri","Marine biodiversity of an Eastern Tropical Pacific oceanic island, Isla del Coco, Costa Rica","Cortés, Jorge","Revista de Biología Tropical; 60(); 131-185","Revista de Biología Tropical","Inglês","2012","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442012000800009&lang=pt" 
"S0034-77442012000800010-cri","Primer informe del género Gambierdiscus (Dinophyceae) y otros dinoflagelados bentónicos en el Parque Nacional Isla del Coco, Costa Rica, Pacífico Tropical Oriental","Vargas-Montero, Maribelle, Morales, Alvaro, Cortés, Jorge","Revista de Biología Tropical; 60(); 187-199","Revista de Biología Tropical","Espanhol","2012","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442012000800010&lang=pt" 
"S0034-77442012000800011-cri","Ocurrence of the sea anemone Telmatactis panamensis (Verrill, 1869) (Cnidaria: Anthozoa: Actiniaria) at Isla del Coco National Park, Costa Rica","Acuña, Fabián H., Cortés, Jorge, Garese, Agustín","Revista de Biología Tropical; 60(); 201-205","Revista de Biología Tropical","Inglês","2012","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442012000800011&lang=pt" 
"S0034-77442012000800012-cri","Algunos poliquetos holoplanctónicos (Annelida: Polychaeta) del Parque Nacional Isla del Coco, Costa Rica","Jiménez-Cueto, Soledad, Suárez-Morales, Eduardo, Morales-Ramírez, Álvaro","Revista de Biología Tropical; 60(); 207-222","Revista de Biología Tropical","Espanhol","2012","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442012000800012&lang=pt" 
"S0034-77442012000800013-cri","Anfípodos hiperídeos (Crustacea: Peracarida) del Parque Nacional Isla del Coco, Costa Rica, Pacífico Tropical Oriental","Gasca, Rebeca, Morales-Ramírez, Álvaro","Revista de Biología Tropical; 60(); 223-233","Revista de Biología Tropical","Espanhol","2012","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442012000800013&lang=pt" 
"S0034-77442012000800014-cri","A new Lepeophtheirus (Copepoda: Siphonostomatoida: Caligidae) from Isla del Coco National Park, Costa Rica, Eastern Tropical Pacific","Suárez-Morales, Eduardo, Gasca, Rebeca","Revista de Biología Tropical; 60(); 235-242","Revista de Biología Tropical","Inglês","2012","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442012000800014&lang=pt" 
"S0034-77442012000800015-cri","Apendicularias (Urochordata) y quetognatos (Chaetognatha) del Parque Nacional Isla del Coco, Costa Rica","Castellanos-Osorio, Iván, Hernández-Flores, Rosa María, Morales-Ramírez, Álvaro, Corrales-Ugalde, Marco","Revista de Biología Tropical; 60(); 243-255","Revista de Biología Tropical","Espanhol","2012","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442012000800015&lang=pt" 
