"S0327-93832013000100011-arg","First record of Molossus coibensis (Chiroptera: Molossidae) in the Brazilian Amazon","Corrêa da Costa, Lanna Jamile, Gonçalves de Andrade, Fernanda Atanaena, Uieda, Wilson, Gregorin, Renato, Barroncas Fernandes, Marcus Emanuel","Mastozoología neotropical; 20(1); 143-147","Mastozoología neotropical","Inglês","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-93832013000100011&lang=pt" 
"S0327-93832013000100012-arg","Noteworthy field observations of cave roosting bats in Honduras","Divoll, Timothy J, Buck, David G","Mastozoología neotropical; 20(1); 149-151","Mastozoología neotropical","Inglês","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-93832013000100012&lang=pt" 
"S0327-93832013000100013-arg","Primera evidencia craneal y registros documentados de Cuniculus paca (Rodentia, Cuniculidae) para el Chaco Húmedo de Argentina","Huck, Maren, Juárez, Cecilia P, Rotundo, Marcelo A, Fernández-Duque, Eduardo","Mastozoología neotropical; 20(1); 153-157","Mastozoología neotropical","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-93832013000100013&lang=pt" 
"S0327-93832013000100014-arg","Maternity nest of an amazon red squirrel in a bromeliad","Jessen, Rosa R, Palmer, Geofrey H, Koprowski, John L","Mastozoología neotropical; 20(1); 159-161","Mastozoología neotropical","Inglês","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-93832013000100014&lang=pt" 
"S0327-93832013000100015-arg","Mortalidad invernal de ciervos de los pantanos (Blastocerus dichotomus) en humedales del noreste de Argentina","Orozco, María M, Marull, Carolina, Jiménez, Ignacio, Gürtler, Ricardo E","Mastozoología neotropical; 20(1); 163-170","Mastozoología neotropical","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-93832013000100015&lang=pt" 
"S0327-93832013000100016-arg","Roedores sigmodontinos del sitio arqueológico &quot;El Divisadero Monte 6&quot; (Holoceno tardío, Buenos Aires, Argentina): taxonomía y reconstrucción ambiental","Teta, Pablo, Pardiñas, Ulyses F. J, Silveira, Mario, Aldazabal, Verónica, Eugenio, Emilio","Mastozoología neotropical; 20(1); 171-177","Mastozoología neotropical","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-93832013000100016&lang=pt" 
"S0327-93832013000100017-arg","Extensão da distribuição geográfica de Aotus vociferans (Primates, Aotidae)","Vidal, Marcelo D, Rossato, Rafael S, de Azevedo, Renata B, e Silva Jr, José de S, de Souza Fialho, Marcos","Mastozoología neotropical; 20(1); 179-182","Mastozoología neotropical","Português","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-93832013000100017&lang=pt" 
"S0327-93832013000100018-arg","Rosendo Pascual (1925 - 2012)","Goin, Francisco J, Ortiz-Jaureguizar, Edgardo, Carlini, Alfredo A","Mastozoología neotropical; 20(1); 197-211","Mastozoología neotropical","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-93832013000100018&lang=pt" 
"S0120-63462013000100010-col","MÉTODOS DE VALORACIÓN DE NUEVOS EMPRENDIMIENTOS","Moscoso Escobar, Jenny, Botero Botero, Sergio","Semestre Económico; 16(33); 237-264","Semestre Económico","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-63462013000100010&lang=pt" 
"S0120-63462013000100004-col","EFECTIVIDAD Y EFICIENCIA DE LOS CANALES DE BÚSQUEDA DE EMPLEO EN COLOMBIA","Restrepo Plaza, Lina María","Semestre Económico; 16(33); 67-98","Semestre Económico","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-63462013000100004&lang=pt" 
"S0120-63462013000100005-col","LEYES CIENTÍFICAS Y PREDICCIÓN EN CIENCIAS SOCIALES: UNA APROXIMACIÓN AL CASO DE LA ECONOMÍA","Guzmán Castro, Gabriel Francisco","Semestre Económico; 16(33); 99-126","Semestre Económico","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-63462013000100005&lang=pt" 
"S0120-63462013000100006-col","ACUERDOS PRODUCTIVOS DESDE LA VISIÓN DEL DESARROLLO LOCAL: EL ROL DE LA INNOVACIÓN","Alderete, María Verónica","Semestre Económico; 16(33); 127-154","Semestre Económico","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-63462013000100006&lang=pt" 
"S0120-63462013000100007-col","VALORACIÓN ECONÓMICA DE LA MORTALIDAD EN LA REGIÓN CARIBE DE COLOMBIA, 2004-2008","Castaño Zuluaga, Andrés, Correa Reyes, Juan, Alvis Estrada, Luis, Alvis Guzmán, Nelson","Semestre Económico; 16(33); 155-180","Semestre Económico","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-63462013000100007&lang=pt" 
"S1983-32882013000100001-scl","In medio stat virtus: some thoughts about journal Impact Factor","Landeira-Fernandez, J., Ventura, Dora Fix, Cruz, A. Pedro de Mello","Psychology &amp; Neuroscience; 6(1); 1-2","Psychology &amp; Neuroscience","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-32882013000100001&lang=pt" 
