"S1135-57272014000300002-esp","Porcentaje de cesáreas en mujeres de bajo riesgo: un indicador útil para comparar hospitales que atienden partos con riesgos diferentes","Librero, Julián, Peiró, Salvador, Belda, Ana, Calabuig, Julia","Revista Española de Salud Pública; 88(3); 315-326","Revista Española de Salud Pública","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272014000300002&lang=pt" 
"S1135-57272014000300005-esp","Estimación de la carga de enfermedad por incapacidad laboral permanente en España durante el período 2009-2012","López, María Andrée, Duran, Xavier, Alonso, Jordi, Martínez, José Miguel, Espallargues, Mireia, Benavides, Fernando G.","Revista Española de Salud Pública; 88(3); 349-358","Revista Española de Salud Pública","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272014000300005&lang=pt" 
"S1135-57272014000300001-esp","Cesáreas: poca pero suficiente información para poner coto a la inadecuación","Campillo Artero, Carlos","Revista Española de Salud Pública; 88(3); 311-314","Revista Española de Salud Pública","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272014000300001&lang=pt" 
"S1135-57272014000300010-esp","Intención de los estudiantes de medicina de vacunarse contra la gripe en sus futuro ejercicio profesional","Hernández-García, Ignacio, González-Celador, Rafael, Giménez-Júlvez, Mª Teresa","Revista Española de Salud Pública; 88(3); 407-418","Revista Española de Salud Pública","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272014000300010&lang=pt" 
"S1135-57272014000300007-esp","Prevalencia de tabaquismo durante el embarazo y factores asociados en Andalucía 2007-2012 (*)","Mateos-Vílchez, Pedro M., Aranda-Regules, José Manuel, Díaz-Alonso, Gema, Mesa-Cruz, Pilar, Gil-Barcenilla, Begoña, Ramos-Monserrat, María, Moreno-Peral, Patricia, Castro-Barea, Josefina, Luna del Castillo, Juan de Dios","Revista Española de Salud Pública; 88(3); 369-381","Revista Española de Salud Pública","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272014000300007&lang=pt" 
"S1135-57272014000300006-esp","Derivaciones en los centros de salud de Andalucía según el sexo de profesionales y pacientes: un análisis de género","Delgado, Ana, Saletti-Cuesta, Lorena, Sánchez-Cantalejo, Carmen, López-Hernández, Begoña, Guijosa-Campos, Pilar, Acosta-Ferrer, Margarita, Montoya-Vergel, Juana, Gil-Garrido, Natalia","Revista Española de Salud Pública; 88(3); 359-368","Revista Española de Salud Pública","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272014000300006&lang=pt" 
"S1135-57272014000300004-esp","Valoración epidemiológica de la linfadenitis tuberculosa en un distrito de Barcelona: propuesta de algoritmo diagnóstico","Aguilar-Duran, Silvia, Sánchez Martínez, Francesca","Revista Española de Salud Pública; 88(3); 339-348","Revista Española de Salud Pública","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272014000300004&lang=pt" 
"S1135-57272014000300003-esp","Sesgo de respuesta en una encuesta postal poblacional sobre calidad de vida relacionada con la salud (SF-12v2)","Carpe Carpe, Bienvenida, Hernando Arizaleta, Lauro, Monteagudo Piqueras, Olga, Abellán Perpiñán, José Mª, Palomar Rodríguez, Joaquín A, Alonso, Jordi","Revista Española de Salud Pública; 88(3); 327-337","Revista Española de Salud Pública","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272014000300003&lang=pt" 
"S1135-57272014000300008-esp","Diferencias en el número de cesáreas en los partos que comienzan espontáneamente y en los inducidos","Hernández Martínez, Antonio, Pascual Pedreño, Ana Isabel, Baño Garnés, Ana Belén, Melero Jiménez, María del Rocío, Molina Alarcón, Milagros","Revista Española de Salud Pública; 88(3); 383-393","Revista Española de Salud Pública","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272014000300008&lang=pt" 
"S1135-57272014000300009-esp","Variables sociodemográficas relacionadas con embarazos no planificados en jóvenes de 13 a 24 años","Yago Simón, Teresa, Tomás Aznar, Concepción","Revista Española de Salud Pública; 88(3); 395-406","Revista Española de Salud Pública","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272014000300009&lang=pt" 
