"S0718-69242012000100013-chl","Aspiraciones y Expectativas Ocupacionales de los Pescadores Artesanales Merluceros de la Región del Bio Bio, Chile","Baquedano, Marjorie, Rosas, Juan Carlos","Psicoperspectivas; 11(1); 273-299","Psicoperspectivas","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-69242012000100013&lang=pt" 
"S0185-25742012000100001-mex","Secuencia constructiva de las plazas en el Grupo Principal de El Palmar, Campeche, México","Tsukamoto, Kenichiro, Kotegawa, Hirokazu, Campaña, Luz Evelia","Estudios de cultura maya; 39(); 11-30","Estudios de cultura maya","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-25742012000100001&lang=pt" 
"S0185-25742012000100002-mex","Politics in the Western Maya Region (II): Emblem Glyphs","Bíró, Péter","Estudios de cultura maya; 39(); 31-66","Estudios de cultura maya","Inglês","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-25742012000100002&lang=pt" 
"S0185-25742012000100003-mex","Laguna de Términos/Río Candelaria Core: Conditions of Sustainable Urban Occupation in the Interior of the Yucatán Peninsula","Gunn, Joel D., Folan, William J., Day, John W., Faust, Betty B.","Estudios de cultura maya; 39(); 67-97","Estudios de cultura maya","Inglês","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-25742012000100003&lang=pt" 
"S0185-25742012000100004-mex","Discriminación visual como determinante de estilo y asignación tipológica de la cerámica códice de Calakmul, Campeche","Boucher, Sylviane, Palomo, Yoly","Estudios de cultura maya; 39(); 99-132","Estudios de cultura maya","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-25742012000100004&lang=pt" 
"S0185-25742012000100005-mex","El mono y el cacao: la búsqueda de un mito a través de los relieves del Grupo de la Serie Inicial de Chichén Itzá","Nájera Coronado, Martha Ilia","Estudios de cultura maya; 39(); 133-172","Estudios de cultura maya","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-25742012000100005&lang=pt" 
"S0185-25742012000100006-mex","Guacamaya: símbolo de temporalidad y fertilidad en dos ejemplos de pintura mural","Navarijo Ornelas, María de Lourdes","Estudios de cultura maya; 39(); 173-193","Estudios de cultura maya","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-25742012000100006&lang=pt" 
"S0185-25742012000100007-mex","U Jóok&#039;ol T&#039;aan, &quot;La salida del habla&quot;","Chi Canul, Hilario","Estudios de cultura maya; 39(); 195-226","Estudios de cultura maya","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-25742012000100007&lang=pt" 
"S0185-25742012000100008-mex","Los parques ecoarqueológicos en el área maya: algunos aspectos de su gestión","García Targa, Juan","Estudios de cultura maya; 39(); 227-245","Estudios de cultura maya","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-25742012000100008&lang=pt" 
"S0185-25742012000100009-mex","Las iglesias coloniales de Yucatán","Benavides Castillo, Antonio","Estudios de cultura maya; 39(); 149-253","Estudios de cultura maya","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-25742012000100009&lang=pt" 
"S0031-10492012021500001-scl","Richness of hymenopterous galls from South America","Maia, Valéria Cid","Papéis Avulsos de Zoologia (São Paulo); 52(35); 423-429","Papéis Avulsos de Zoologia (São Paulo)","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0031-10492012021500001&lang=pt" 
"S0021-25712012000300009-spa","Clinical features and lifestyle of patients with amyotrophic lateral sclerosis in Campania: brief overview of an Italian database","Trojsi, Francesca, Sagnelli, Anna, Vanacore, Nicola, Piccirillo, Giovanni, Daniele, Luca, Izzo, Francesco, Laiola, Anna, Di Costanzo, Alfonso, Savettieri, Giovanni, Monsurrò, Maria Rosaria, Tedeschi, Gioacchino","Annali dell&#039;Istituto Superiore di Sanità; 48(3); 287-291","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712012000300009&lang=pt" 
"S0021-25712012000300007-spa","The Italian Helpdesk under the Regulation (EC) No. 1272/2008 (CLP): three-year activity and experience (2009-2011)","D&#039;Ilio, Sonia, Alessandrelli, Maria, Nania, Maria Alessandra, Izzo, Paolo, Aliberti, Ludovica Malaguti, Marcello, Ida, Di Prospero Fanghella, Paola","Annali dell&#039;Istituto Superiore di Sanità; 48(3); 272-276","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712012000300007&lang=pt" 
"S0021-25712012000300006-spa","International scientific consensus on medical plantar pressure measurement devices: technical requirements and performance","Giacomozzi, Claudia, Keijsers, Noel, Pataky, Todd, Rosenbaum, Dieter","Annali dell&#039;Istituto Superiore di Sanità; 48(3); 259-271","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712012000300006&lang=pt" 
"S0021-25712012000300005-spa","Good practices for the prevention of alcohol harmful use amongst the elderly in Europe, the VINTAGE project","Palacio-Vieira, Jorge, Segura, Lidia, Antoni, Gual, Colom, Joan, Ahlström, Salme, Krnel, Sandra Radoš, McNeill, Andrew, Sovinova, Hana, Scafato, Emanuele","Annali dell&#039;Istituto Superiore di Sanità; 48(3); 248-255","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712012000300005&lang=pt" 
