"S1806-37132015000300292-scl","Nontuberculous mycobacteria in respiratory specimens: clinical significance at a tertiary care hospital in the north of Portugal","Dabó, Hans, Santos, Vanessa, Marinho, Anabela, Ramos, Angélica, Carvalho, Teresa, Ribeiro, Manuela, Amorim, Adelina","Jornal Brasileiro de Pneumologia; 41(3); 292-294","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000300292&lang=pt" 
"S0100-39842015000300013-scl","Doege-Potter syndrome","Moreira, Bruno Lima, Monarim, Marlon Augusto Schiocchet, Romano, Ricardo Francisco Tavares, Mattos, Leandro Accardo, D’Ippolito, Giuseppe","Radiologia Brasileira; 48(3); 195-196","Radiologia Brasileira","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842015000300013&lang=pt" 
"S0100-39842015000300012-scl","Hybrid treatment of penetrating aortic ulcer","Lara, Juan Antonio Herrero, Martins-Romêo, Daniela de Araújo, Escudero, Carlos Caparrós, Vázquez, Rosa María Lepe, Falcón, María del Carmen Prieto, Batista, Vinicius Bianchi","Radiologia Brasileira; 48(3); 192-194","Radiologia Brasileira","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842015000300012&lang=pt" 
"S1518-70122015000100001-scl","Editorial","Dorsa, Arlinda Cantero, Borges, Pedro Pereira","Interações (Campo Grande); 16(1); I-II","Interações (Campo Grande)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122015000100001&lang=pt" 
"S1518-70122015000100005-scl","Construção social de mercados: a produção orgânica nos assentamentos do Rio Grande do Sul, Brasil","Redin, Ezequiel","Interações (Campo Grande); 16(1); 55-66","Interações (Campo Grande)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122015000100005&lang=pt" 
"S0100-39842015000300016-scl","Mammographic artifact leading to false-positive result","Avelar, Matheus Silveira, Almeida, Orlando, Alvares, Beatriz Regina","Radiologia Brasileira; 48(3); 198-199","Radiologia Brasileira","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842015000300016&lang=pt" 
"S0100-39842015000300017-scl","Hypertrophic olivary degeneration secondary to central tegmental tract injury","Araujo, Nicole Almeida de Alencar, Raeder, Mariana Trombetta de Lima, Silva Junior, Nivaldo Adolfo da, Oshima, Mariana Mari, Parizotto, Luis Otavio, Reis, Fabiano","Radiologia Brasileira; 48(3); 199-200","Radiologia Brasileira","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842015000300017&lang=pt" 
"S0085-56262015000200085-scl","Description of the male of Evandromyia gaucha Andrade Filho, Souza, Falcão (Psychodidae, Phlebotominae)","Souza, Getúlio D., Shimabukuro, Paloma H.F., Andrade Filho, José D.","Revista Brasileira de Entomologia; 59(2); 85-88","Revista Brasileira de Entomologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262015000200085&lang=pt" 
"S0870-82312015000200008-prt","O conhecimento e acesso ao script de base segura e a perceção de suporte social em mães com crianças em idade pré-escolar","Branco, Irina, Monteiro, Lígia, Veríssimo, Manuela","Análise Psicológica; 33(2); 235-247","Análise Psicológica","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-82312015000200008&lang=pt" 
"S0870-82312015000200005-prt","Comunicação com o/a parceiro/a sexual acerca de preocupações preventivas, auto-eficácia contracetiva e (in)satisfação sexual","Pereira, Alice, Fávero, Marisalva, Barbosa-Ducharne, Maria Adelina, Almeida, Ana Isabel, Figueiredo, Catarina","Análise Psicológica; 33(2); 195-206","Análise Psicológica","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-82312015000200005&lang=pt" 
