"S0188-252X2013000200013-mex","Filosofía y comunicación, diálogos, encuentros y posibilidades","González Reyes, Rodrigo","Comunicación y sociedad; (20); 249-253","Comunicación y sociedad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2013000200013&lang=pt" 
"S1909-24742013000200006-col","","SOTO GIRALDO, ALBERTO, PALLINI, ANGELO, VENZON, MADELAINE","Luna Azul; (37); 63-73","Luna Azul","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742013000200006&lang=pt" 
"S1909-24742013000200001-col","CAPACIDADES CREADORAS ANTE LA CRISIS CAFETERA","López Becerra, Mario Hernán","Luna Azul; (37); 8-9","Luna Azul","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742013000200001&lang=pt" 
"S1909-24742013000200003-col","RESPUESTA AGRONÓMICA DE Zea mays L. y Phaseolus vulgaris L. A LA FERTILIZACIÓN CON COMPOST","ESCOBAR ESCOBAR, NATALIA, MORA DELGADO, JAIRO, ROMERO JOLA, NÉSTOR","Luna Azul; (37); 18-29","Luna Azul","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742013000200003&lang=pt" 
"S1909-24742013000200002-col","ESTUDIO DE INDICADORES CONDUCTUALES PARA EVALUAR EL DESCARGUE DE BOVINOS EN PLANTAS DE BENEFICIO","ROMERO P, MARLYN H, COBO A, CLAUDIA G, GONZÁLEZ G, LINA M","Luna Azul; (37); 10-17","Luna Azul","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742013000200002&lang=pt" 
"S1909-24742013000200009-col","CONTAMINACIÓN VEHICULAR EN LA CONURBACIÓN PEREIRA-DOSQUEBRADAS","MORALES-PINZÓN, TITO, ARIAS MENDOZA, JHON JAIRO","Luna Azul; (37); 101-129","Luna Azul","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742013000200009&lang=pt" 
"S1909-24742013000200008-col","EVALUACIÓN DE RESIDUOS AGRÍCOLAS COMO SUSTRATO PARA LA PRODUCCIÓN DE Pleurotus ostreatus","RIVERA OMEN, RUBY LEONOR, MARTÍNEZ MAMIÁN, CARLOS AUGUSTO, MORALES VELASCO, SANDRA","Luna Azul; (37); 89-100","Luna Azul","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742013000200008&lang=pt" 
"S1794-47242013000300001-col","El efecto del reforzamiento parcial en la extinción del aprendizaje predictivo: una evaluación del modo de respuesta","Alvarado García, Angélica Serena, Vila, Javier, López Romero, Luis J.","Avances en Psicología Latinoamericana; 31(3); 453-466","Avances en Psicología Latinoamericana","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-47242013000300001&lang=pt" 
"S1794-47242013000300002-col","Cumplimiento con la quimioterapia intravenosa y algunos factores asociados a éste en pacientes oncológicos adultos","Díaz-Amaya, Mariana, Rodríguez-Reyes, Mónica, Trujillo-Osorio, Natalia, Palacios-Espinosa, Ximena","Avances en Psicología Latinoamericana; 31(3); 467-482","Avances en Psicología Latinoamericana","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-47242013000300002&lang=pt" 
"S1794-47242013000300003-col","Medidas de sintomas depressivos em idosos: relações com variáveis sociodemográficas","Carneiro, Adriana Munhoz, Baptista, Makilim Nunes, Santos, Acacia Aparecida Angeli Dos","Avances en Psicología Latinoamericana; 31(3); 483-492","Avances en Psicología Latinoamericana","Português","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-47242013000300003&lang=pt" 
"S1794-47242013000300004-col","Psicología de la hipertensión en el embarazo: Una evaluación comparativa","Angulo Espinosa, Rocío Valeria, Riveros Rosas, Angélica","Avances en Psicología Latinoamericana; 31(3); 493-506","Avances en Psicología Latinoamericana","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-47242013000300004&lang=pt" 
