"S0120-04882015000100001-col","Parámetros poblacionales de Leptopharsa gibbicarina (Hemiptera: Tingidae)plaga de la palma de aceite","BARRIOS-TRILLERAS, CARLOS ENRIQUE, CUCHIMBA-TRIANA, MAYRA SELENE, BUSTILLO-PARDEY, ALEX ENRIQUE","Revista Colombiana de Entomología; 41(1); 1-4","Revista Colombiana de Entomología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-04882015000100001&lang=pt" 
"S1657-89612015000100005-col","Las pérdidas y los duelos en personas afectadas por el desplazamiento forzado","Díaz, Victoria Eugenia, Molina, Astrid Natalia, Marín, Manuel Antonio","Pensamiento Psicológico; 13(1); 65-80","Pensamiento Psicológico","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-89612015000100005&lang=pt" 
"S1657-89612015000100008-col","Análisis del liderazgo a partir de ejercicios de maniobra militar","Beramendi, Maite, Muratori, Marcela, Zubieta, Elena","Pensamiento Psicológico; 13(1); 105-118","Pensamiento Psicológico","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-89612015000100008&lang=pt" 
"S1657-89612015000100010-col","Re-análisis de la confiabilidad del Cuestionario de autoeficacia profesional (AU-10), en Maffei et al. (2012)","Merino Soto, César","Pensamiento Psicológico; 13(1); 137-138","Pensamiento Psicológico","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-89612015000100010&lang=pt" 
"S1657-89612015000100001-col","Contraste empírico del modelo de cinco fases de duelo de Kübler-Ross en mujeres con cáncer","Moral de la Rubia, José, Miaja Ávila, Melina","Pensamiento Psicológico; 13(1); 7-25","Pensamiento Psicológico","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-89612015000100001&lang=pt" 
"S1657-89612015000100009-col","Resiliencia comunitaria: propuesta de una escala y su relación con indicadores de violencia criminal","Ruiz Pérez, José Ignacio","Pensamiento Psicológico; 13(1); 119-135","Pensamiento Psicológico","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-89612015000100009&lang=pt" 
"S1657-89612015000100006-col","Metáforas y realidad psíquica en maestras de primera infancia en una institución educativa de Cali","Gómez, Ana Cristina, Mesa, Ana María","Pensamiento Psicológico; 13(1); 81-92","Pensamiento Psicológico","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-89612015000100006&lang=pt" 
"S1657-89612015000100004-col","Objetivos vitales en jóvenes y en adultos mayores sanos y con enfermedades crónicas","Villar, Feliciano, Zea, María del Carmen","Pensamiento Psicológico; 13(1); 53-64","Pensamiento Psicológico","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-89612015000100004&lang=pt" 
"S1657-89612015000100002-col","Validación del Cuestionario de lugar de control del dolor en estudiantes argentinos con cefaleas recurrentes","Moretti, Luciana Sofía, Medrano, Leonardo Adrián, Basler, Heinz-Dieter","Pensamiento Psicológico; 13(1); 27-38","Pensamiento Psicológico","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-89612015000100002&lang=pt" 
"S1657-89612015000100003-col","Bullying y cyberbulling: diferencias entre colegios públicos-privados y religiosos-laicos","Garaigordobil, Maite, Martínez-Valderrey, Vanesa, Páez, Darío, Cardozo, Griselda","Pensamiento Psicológico; 13(1); 39-52","Pensamiento Psicológico","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-89612015000100003&lang=pt" 
"S2007-54722015000200002-mex","Estabilidad de la cepa vacunal B. abortus S19 portadora de un plásmido de expresión eucariota codificante de la glicoproteína G del virus de la rabia","Pazos Salazar, Nidia G., Benítez Serrano, Juan C., Calderón Chamorro, José L., Hernández-Castro, Rigoberto, Díaz Aparicio, Efrén, Aguilar Setién, José A.","Veterinaria México OA; 2(2); 01-13","Veterinaria México OA","Inglês, Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-54722015000200002&lang=pt" 
"S0104-530X2015000200239-scl","Editorial","Paulillo, Luiz Fernando","Gestão &amp; Produção; 22(2); 239-241","Gestão &amp; Produção","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2015000200239&lang=pt" 
"S0104-530X2015000200267-scl","Tecnologia e trajetórias de internacionalização precoce: análise de casos na indústria brasileira","Francischini, Andresa Silva Neto, Furtado, João, Garcia, Renato","Gestão &amp; Produção; 22(2); 267-279","Gestão &amp; Produção","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2015000200267&lang=pt" 
"S0104-530X2015000200419-scl","A mudança da carreira dos dirigentes após o processo de privatização: estudo de caso no setor elétrico paulista","Matsuda, Patricia Mari, Donadone, Julio Cesar","Gestão &amp; Produção; 22(2); 419-430","Gestão &amp; Produção","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2015000200419&lang=pt" 
"S0104-530X2015000200345-scl","Método de decisão dos processos de prototipagem rápida na concepção de novos produtos","Canciglieri Junior, Osiris, Selhorst Junior, Aguilar, Sant’Anna, Ângelo Márcio Oliveira","Gestão &amp; Produção; 22(2); 345-355","Gestão &amp; Produção","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2015000200345&lang=pt" 
"S0104-530X2015000200243-scl","Manutenção Aeronáutica no Brasil: distribuição geográfica e técnica","Machado, Marcio Cardoso, Urbina, Ligia Maria Soto, Eller, Michelle Aparecida Gomes","Gestão &amp; Produção; 22(2); 243-253","Gestão &amp; Produção","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2015000200243&lang=pt" 
"S0104-530X2015000200254-scl","Planejamento de uma montagem estrutural aeronaútica de jatos utilizando abordagens de programação de projetos com recursos restritos e múltiplos modos","Silva, Bruno Jensen Virginio da, Morabito, Reinaldo","Gestão &amp; Produção; 22(2); 254-266","Gestão &amp; Produção","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2015000200254&lang=pt" 
"S0104-530X2015000200280-scl","Fatores críticos na gestão de projetos: um estudo de caso numa grande empresa latino-americana de classe mundial","Jordão, Ricardo Vinícius Dias, Pelegrini, Fabiana Gonçalves, Jordão, Anna Carolina Teddo, Jeunon, Ester Eliane","Gestão &amp; Produção; 22(2); 280-294","Gestão &amp; Produção","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2015000200280&lang=pt" 
"S0104-530X2015000200295-scl","Oportunidades e desafios para lidar com as barreiras à adoção de práticas de green supply chain management: guidelines à luz de um estudo de múltiplos casos no Brasil","Jabbour, Ana Beatriz Lopes de Sousa, Souza, Caroline Lombardi de","Gestão &amp; Produção; 22(2); 295-310","Gestão &amp; Produção","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2015000200295&lang=pt" 
"S0104-530X2015000200311-scl","Resultados financeiros: uma análise em empresas do segmento de alimentação fora do domicílio","Raymundo, Pedro José","Gestão &amp; Produção; 22(2); 311-325","Gestão &amp; Produção","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2015000200311&lang=pt" 
