"S1852-44782008000100014-arg","Hugo O. Bizzarri. Los “Castigos del rey don Sancho IV” : una reinterpretación. Papers of the medieval Hispanic Research Seminar 37, London : Department of Hispanic Studies, Queen Mary and Westfield College , 2004, 86 pp.","Zubillaga, Carina","Olivar; 9(11); 156-159","Olivar","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-44782008000100014&lang=pt" 
"S1852-44782008000100015-arg","Nicasio Salvador Miguel y Santiago López-Ríos (eds.), El Quijote desde el siglo XXI , Alcalá de Henares (Madrid): Centro de Estudios Cervantinos, 2005, 250 pp.","Aguilar, Dietris","Olivar; 9(11); 160-163","Olivar","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-44782008000100015&lang=pt" 
"S1852-44782008000100016-arg","Florencia Calvo, Los itinerarios del Imperio. La dramatización de la historia en el barroco español, Buenos Aires: Eudeba, 2007, 311 pp.","Vila, Juan Diego, Chicote, Gloria B.","Olivar; 9(11); 164-169","Olivar","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-44782008000100016&lang=pt" 
"S1852-44782008000100017-arg","Francisco Caudet (ed.) Benito Pérez Galdós, Episodios Nacionales. Quinta serie. España sin rey, España trágica, Amadeo I, La Primera República, De Cartago a Sagunto, Cánovas, Madrid: Cátedra, 2007, 1465 pp.","Gerhardt, Federico","Olivar; 9(11); 170-177","Olivar","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-44782008000100017&lang=pt" 
"S1852-44782008000100018-arg","Christopher L. Anderson y Paul C. Smith, Vicente Blasco Ibáñez: An Annotated Bibliography 1975-2002, Newark, DE: Juan de la Cuesta, 2005, 196 pp.","Contreras, María de los Ángeles","Olivar; 9(11); 178-180","Olivar","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-44782008000100018&lang=pt" 
"S1852-44782008000100019-arg","Alberto S. insúa, Herodías Salomé. Construcción dramática en tres actos sin interrupciones sobre textos de Mallarmé, Flaubert, Wilde. Traducción directa de los tres originales franceses y dramatización de Alberto S. Insúa, Madrid: Abada Editores, 2006, 95 pp.","Balestrino, Graciela","Olivar; 9(11); 181-184","Olivar","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-44782008000100019&lang=pt" 
"S1852-44782008000100020-arg","José-Carlos Mainer, Tramas, libros, nombres. Para entender la literatura española, 1944-2000, Barcelona: Anagrama, 2005, 347 pp.","Lluch Prats, Javier","Olivar; 9(11); 185-191","Olivar","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-44782008000100020&lang=pt" 
"S1852-44782008000100021-arg","Andrés Barba, Versiones de Teresa, Anagrama, Barcelona, 2006, 204 pp.","Pellicer, Gemma","Olivar; 9(11); 192-195","Olivar","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-44782008000100021&lang=pt" 
"S1852-44782008000100022-arg","Juan José Lanz, La poesía durante la transición y la generación de la democracia, Madrid, Devenir, 2007, 485 pp.","Sánchez, Mariela","Olivar; 9(11); 196-200","Olivar","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-44782008000100022&lang=pt" 
"S1852-38622008000200001-arg","EDITORIAL","Perrone, Sergio V.","Insuficiencia cardíaca; 3(2); 56-56","Insuficiencia cardíaca","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622008000200001&lang=pt" 
