"S0001-37652014000402049-scl","Frequency and foraging behavior of Apis mellifera in two melon hybrids in Juazeiro, state of Bahia, Brazil","KIILL, LÚCIA H.P., SIQUEIRA, KÁTIA M.M., MÁRCIA S., COELHO, SILVA, TAMIRES A., GAMA, DIEGO R.S., ARAÚJO, DIEGO C.S., PEREIRA NETO, JOAQUIM","Anais da Academia Brasileira de Ciências; 86(4); 2049-2055","Anais da Academia Brasileira de Ciências","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652014000402049&lang=pt" 
"S1809-98232014000400731-scl","Análise comparativa da qualidade de vida de adultos e idosos envolvidos com a prática regular de atividade física","Sonati, Jaqueline Girnos, Vilarta, Roberto, Maciel, Érika da Silva, Modeneze, Dênis Marcelo, Vilela Junior, Guanis de Barros, Lazari, Vanessa Oliveira, Muciacito, Bianca","Revista Brasileira de Geriatria e Gerontologia; 17(4); 731-739","Revista Brasileira de Geriatria e Gerontologia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232014000400731&lang=pt" 
"S0001-37652014000401813-scl","Antibiotic resistance and enterotoxin genes in Staphylococcus sp. isolates from polluted water in Southern Brazil","BASSO, ANA P., MARTINS, PAULA D., NACHTIGALL, GISELE, SAND, SUELI VAN DER, MOURA, TIANE M. DE, FRAZZON, ANA PAULA G.","Anais da Academia Brasileira de Ciências; 86(4); 1813-1820","Anais da Academia Brasileira de Ciências","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652014000401813&lang=pt" 
"S1608-89212014000300001-cub","Factores genéticos en la hipertensión esencial","Miguel Soca, Pedro Enrique, Ramírez Infantes, Bernardina","Gaceta Médica Espirituana; 16(3); 01-03","Gaceta Médica Espirituana","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1608-89212014000300001&lang=pt" 
"S0001-37652014000401887-scl","Chaco ansilta new species from Mendoza province, Western Argentina (Araneae: Nemesiidae)","FERRETTI, NELSON","Anais da Academia Brasileira de Ciências; 86(4); 1887-1898","Anais da Academia Brasileira de Ciências","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652014000401887&lang=pt" 
"S0001-37652014000401693-scl","Reproductive phenology and sharing of floral resource among hummingbirds (Trochilidae) in inflorescences of Dahlstedtia pinnata (Benth.) Malme. (Fabaceae) in the Atlantic forest","MISSAGIA, CAIO C.C., VERÇOZA, FÁBIO C., ALVES, MARIA ALICE S.","Anais da Academia Brasileira de Ciências; 86(4); 1693-1702","Anais da Academia Brasileira de Ciências","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652014000401693&lang=pt" 
"S1608-89212014000300018-cub","La enseñanza-aprendizaje del diagnóstico de anomalías dentomaxilofaciales sustentado en el método clínico","Pérez García, Lizandro Michel, Salvat Quesada, Miguel, Concepción, José Alejandro","Gaceta Médica Espirituana; 16(3); 01-09","Gaceta Médica Espirituana","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1608-89212014000300018&lang=pt" 
"S1608-89212014000300019-cub","Aplicación de la prueba Luria Inicial en el niño preescolar con desviaciones del neurodesarrollo en Cuba","Ramírez Benítez, Yaser, Jiménez-Morales, Rodneys Mauricio","Gaceta Médica Espirituana; 16(3); 01-09","Gaceta Médica Espirituana","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1608-89212014000300019&lang=pt" 
"S1608-89212014000300012-cub","Demencia frontotemporal luego de un evento vital. Presentación de un caso","Martínez Hernández, Berkis, Padrón Fernando, Alina, González Montagne, Odalys, Carpio, Emilio","Gaceta Médica Espirituana; 16(3); 01-07","Gaceta Médica Espirituana","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1608-89212014000300012&lang=pt" 
"S1608-89212014000300013-cub","Lesiones penetrantes en el cerebro por cuerpos extraños intracraneales. Presentación de tres casos","Vera Pérez, Francisco Javier, Álvarez Rodríguez, Ariel, Alpízar Olivera, Lisdanis, Leiva Fariñas, Javier Alejandro","Gaceta Médica Espirituana; 16(3); 01-09","Gaceta Médica Espirituana","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1608-89212014000300013&lang=pt" 
