"S1414-98931986000200003-scl","Oficina de saúde da mulher","","Psicologia: Ciência e Profissão; 6(2); 6-8","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000200003&lang=pt" 
"S1414-98931986000200012-scl","Da criança ao menor","Albuquerque, José Augusto Guilhon","Psicologia: Ciência e Profissão; 6(2); 33-33","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000200012&lang=pt" 
"S1414-98931986000200010-scl","Os direitos dos pedestres","","Psicologia: Ciência e Profissão; 6(2); 28-28","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000200010&lang=pt" 
"S1414-98931986000200009-scl","A situação atual do uso de testes","Sollero Neto, José","Psicologia: Ciência e Profissão; 6(2); 26-27","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000200009&lang=pt" 
"S1414-98931986000200002-scl","","","Psicologia: Ciência e Profissão; 6(2); 5-5","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000200002&lang=pt" 
"S1414-98931986000200001-scl","","","Psicologia: Ciência e Profissão; 6(2); 4-4","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000200001&lang=pt" 
"S1414-98931986000200006-scl","O trânsito expressa o uso do espaço urbano","","Psicologia: Ciência e Profissão; 6(2); 19-21","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000200006&lang=pt" 
"S1414-98931986000200005-scl","Psicologia do trânsito","","Psicologia: Ciência e Profissão; 6(2); 18-18","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000200005&lang=pt" 
"S1414-98931986000200013-scl","A Psicologia no 2.º grau","Caroni, Regina Aparecida Loureiro","Psicologia: Ciência e Profissão; 6(2); 33-34","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000200013&lang=pt" 
"S1414-98931986000200014-scl","Atendimento ao aluno &quot;difícil&quot;","Patto, Maria Helena Souza","Psicologia: Ciência e Profissão; 6(2); 35-35","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000200014&lang=pt" 
"S0044-59671986000100157-scl","Three new spkcies of Caraipa (GUTTIFERAE)","Kubtzki, K.","Acta Amazonica; 16(); 157-174","Acta Amazonica","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59671986000100157&lang=pt" 
"S0044-59671986000100223-scl","A new Meriania from serra Aracá","Wurdack, John J.","Acta Amazonica; 16(); 223-224","Acta Amazonica","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59671986000100223&lang=pt" 
"S0044-59671986000100239-scl","Water recycling in tropical forests as a stochastic process","Clarke, R. T., Cooper, D. M.","Acta Amazonica; 16(); 239-252","Acta Amazonica","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59671986000100239&lang=pt" 
"S0044-59671986000100219-scl","Notes of the flora of serra Aracá","Steyermark, Julian A.","Acta Amazonica; 16(); 219-222","Acta Amazonica","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59671986000100219&lang=pt" 
