"S1807-86722016000300249-scl","Fermentation kinetics and in vitro degradation rates of grasses of the genus Cynodon","Reis, Sidnei Tavares dos, Lima, Marcus Vinícius Gonçalves, Sales, Eleuza Clarete Junqueira de, Monção, Flávio Pinto, Rigueira, João Paulo Sampaio, Santos, Leonardo David Tuffi","Acta Scientiarum. Animal Sciences; 38(3); 249-254","Acta Scientiarum. Animal Sciences","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86722016000300249&lang=pt" 
"S2179-80872016000300320-scl","Custo Social da Degradação da Qualidade Hídrica para o Abastecimento Público","Pompermayer, Raquel, Angelo, Humberto, Almeida, Alexandre Nascimento de","Floresta e Ambiente; 23(3); 320-329","Floresta e Ambiente","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-80872016000300320&lang=pt" 
"S1809-68912016000300349-scl","COMPORTAMENTO INGESTIVO DE VACAS F1 HOLANDÊS X ZEBU ALIMENTADAS COM DIFERENTES FONTES DE COMPOSTOS NITROGENADOS","Almeida Filho, Silvio Humberto Cardoso de, Rocha Júnior, Vicente Ribeiro, Menezes, Gustavo Chamon de Castro, Ruas, José Reinaldo Mendes, Aguiar, Ana Cássia Rodrigues de, Santana, Pedro Felipe, Borges, Lucas Daniel Alcântara, Costa, Natanael Mendes","Ciência Animal Brasileira; 17(3); 349-358","Ciência Animal Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912016000300349&lang=pt" 
"S1809-68912016000300316-scl","CONFORMAÇÃO CORPORAL DE EQUINOS DE DIFERENTES GRUPOS GENÉTICOS","Rezende, Marcos Paulo Gonçalves, Souza, Julio Cesar de, Mota, Marcelo Falci, Oliveira, Nicacia Monteiro, Jardim, Rodrigo José Delgado","Ciência Animal Brasileira; 17(3); 316-326","Ciência Animal Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912016000300316&lang=pt" 
"S0188-25032016000300469-mex","Hegemonía masculina, freno en equipos mixtos en la minería chilena","Salinas, Paulina, Romaní, Gianni","Revista mexicana de sociología; 78(3); 469-496","Revista mexicana de sociología","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032016000300469&lang=pt" 
"S0188-25032016000300343-mex","Polivictimización en mujeres mexicanas adultas mayores","Frías, Sonia M.","Revista mexicana de sociología; 78(3); 343-374","Revista mexicana de sociología","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032016000300343&lang=pt" 
"S0188-25032016000300437-mex","&quot;Fallas del sistema&quot;: análisis desde abajo del movimiento anarcopunk en México","Poma, Alice, Gravante, Tommaso","Revista mexicana de sociología; 78(3); 437-467","Revista mexicana de sociología","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032016000300437&lang=pt" 
"S0185-013X2016000300633-mex","Democracia, militares y política exterior en México: el caso de la ausencia de México con efectivos militares en Operaciones de Mantenimiento de la Paz de la ONU","Zepeda Gil, Raúl","Foro internacional; 56(3); 633-656","Foro internacional","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-013X2016000300633&lang=pt" 
"S0185-013X2016000300684-mex","La solidez del cristal: la importancia del tiempo para explicar la calidad de las leyes de acceso a la información","Salazar Rebolledo, Grisel","Foro internacional; 56(3); 684-723","Foro internacional","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-013X2016000300684&lang=pt" 
"S0185-013X2016000300549-mex","El endeudamiento externo de Rusia: dinámica, estructura y riegos en las condiciones de las sanciones económicas de los países de Occidente","Sidorenko, Tatiana","Foro internacional; 56(3); 549-577","Foro internacional","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-013X2016000300549&lang=pt" 
"S0185-013X2016000300724-mex","América del Sur: de la seguridad cooperativa a la cooperación disuasoria","Vitelli, Marina","Foro internacional; 56(3); 724-755","Foro internacional","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-013X2016000300724&lang=pt" 
"S0185-013X2016000300767-mex","Lawrence Freedman, Strategy: A History","Gutiérrez Cañal, Amaya María, Zavaleta Fuentes, Miguel Ángel","Foro internacional; 56(3); 767-771","Foro internacional","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-013X2016000300767&lang=pt" 
"S0185-013X2016000300756-mex","Joseph S. Nye, Jr., Is the American Century Over?","Rodríguez Aquino, José Luis","Foro internacional; 56(3); 756-761","Foro internacional","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-013X2016000300756&lang=pt" 
