"S0718-13372004000200002-chl","","","Revista Facultad de Ingeniería - Universidad de Tarapacá; 12(2); 09-11","Revista Facultad de Ingeniería - Universidad de Tarapacá","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-13372004000200002&lang=pt" 
"S0718-13372004000200003-chl","POTENTIAL, ELECTRIC FIELD AND SURFACE CHARGES CLOSE TO THE BATTERY FOR A RESISTIVE CYLINDRICAL SHELL CARRYING A STEADY LONGITUDINAL CURRENT","Hernandes, J. A., Capelas de Oliveira, E., Assis, A. K. T","Revista Facultad de Ingeniería - Universidad de Tarapacá; 12(2); 13-20","Revista Facultad de Ingeniería - Universidad de Tarapacá","Inglês","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-13372004000200003&lang=pt" 
"S0718-13372004000200004-chl","EFECTO DEL ESTRONCIO EN LAS TEMPERATURAS DE REACCION EUTECTICAS Y MICROESTRUCTURAS DE SOLIDIFICACION DE UNA ALEACION Al-Si TIPO A319","Martínez, E, Lacaze, J, Cisneros, M, Valtierra, S","Revista Facultad de Ingeniería - Universidad de Tarapacá; 12(2); 21-26","Revista Facultad de Ingeniería - Universidad de Tarapacá","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-13372004000200004&lang=pt" 
"S0718-13372004000200005-chl","CONVECCIÓN DE CALOR EN EL FLUJO DE FLUIDOS A TRAVÉS DE UN LECHO DE EMPAQUE DE BAUXITA ACTIVADA","Patiño, Luis, Figueroa, Rosmely","Revista Facultad de Ingeniería - Universidad de Tarapacá; 12(2); 27-34","Revista Facultad de Ingeniería - Universidad de Tarapacá","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-13372004000200005&lang=pt" 
"S0718-13372004000200006-chl","DESARROLLO DE UN SISTEMA PARA PROGRAMAR RECURSOS Y OPERACIONES EN LA FABRICACIÓN DE CALENTADORES ELÉCTRICOS BAJO PEDIDO","Castillo K, Ana, Muñoz N, David","Revista Facultad de Ingeniería - Universidad de Tarapacá; 12(2); 35-42","Revista Facultad de Ingeniería - Universidad de Tarapacá","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-13372004000200006&lang=pt" 
"S0718-13372004000200007-chl","ESTUDIO DE LA SOLDABILIDAD Y CORROSIÓN DEL ACERO INOXIDABLE AISI 904L CON LOS AGENTES UTILIZADOS EN LA LIXIVIACIÓN DEL COBRE","Cortés P, Ramón, Villanueva A, Jaime, Ponce L, Ernesto, Rojas M, Manuel, Rojas Z, Eduardo","Revista Facultad de Ingeniería - Universidad de Tarapacá; 12(2); 43-56","Revista Facultad de Ingeniería - Universidad de Tarapacá","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-13372004000200007&lang=pt" 
"S0718-13372004000200008-chl","BORONIZADO DE ALEACIONES DE BASE COBRE","Ponce, Ernesto, Martínez, Luis, Vargas, José","Revista Facultad de Ingeniería - Universidad de Tarapacá; 12(2); 57-62","Revista Facultad de Ingeniería - Universidad de Tarapacá","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-13372004000200008&lang=pt" 
"S0718-13372004000200009-chl","EFECTOS DEL ESTILO DE LIDERAZGO SOBRE LA EFICACIA DE LAS ORGANIZACIONES PÚBLICAS","Pedraja R, Liliana, Rodríguez P, Emilio","Revista Facultad de Ingeniería - Universidad de Tarapacá; 12(2); 63-73","Revista Facultad de Ingeniería - Universidad de Tarapacá","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-13372004000200009&lang=pt" 
"S0718-13372004000200010-chl","SOBRE LA POSIBILIDAD DE APLICAR LA METODOLOGÍA ORIENTADA AL PROYECTO, EN LA ENSEÑANZA DE LA INGENIERÍA DE LA UNIVERSIDAD DE TARAPACÁ-CHILE","Villarroel G., Carlos, Herrera S., Carlos","Revista Facultad de Ingeniería - Universidad de Tarapacá; 12(2); 74-83","Revista Facultad de Ingeniería - Universidad de Tarapacá","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-13372004000200010&lang=pt" 
"S0034-70942004000600020-scl","Sebastião Marra Marques","","Revista Brasileira de Anestesiologia; 54(6); 878-878","Revista Brasileira de Anestesiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942004000600020&lang=pt" 
"S0034-70942004000600019-scl","Marlene Paulino dos Reis","Mattos, Anita Leocádia de","Revista Brasileira de Anestesiologia; 54(6); 877-877","Revista Brasileira de Anestesiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942004000600019&lang=pt" 
"S0034-70942004000600001-scl","Revista Brasileira de Anestesiologia bilingue e on-line: exposição e responsabilidade","Carvalho, José Carlos Almeida","Revista Brasileira de Anestesiologia; 54(6); 753-754","Revista Brasileira de Anestesiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942004000600001&lang=pt" 
"S0034-70942004000600003-scl","A pressão arterial e a freqüência cardíaca não são bons parâmetros para avaliação do nível de ansiedade pré-operatória","Conceição, Diogo Bruggemann da, Schonhorst, Leonardo, Conceição, Mário José da, Oliveira Filho, Getúlio Rodrigues de","Revista Brasileira de Anestesiologia; 54(6); 769-773","Revista Brasileira de Anestesiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942004000600003&lang=pt" 
"S0034-70942004000600006-scl","Cesariana em paciente com doença de von Willebrand associada à infecção pelo HIV: relato de caso","Balle, Vanessa Rezende, Machado, Sheila Braga, Gomes, Marcos Emanuel Wortmann, Mendes, Florentino Fernandes","Revista Brasileira de Anestesiologia; 54(6); 788-793","Revista Brasileira de Anestesiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942004000600006&lang=pt" 
"S0034-70942004000600005-scl","Expansão volêmica em raquianestesia para cesariana: comparação entre cristalóide ou colóide","Cardoso, Mônica Maria Siaulys Capel, Bliacheriene, Sandra, Freitas, Cláudia R C, César, Daniel S, Torres, Marcelo Luís Abramides","Revista Brasileira de Anestesiologia; 54(6); 781-787","Revista Brasileira de Anestesiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942004000600005&lang=pt" 
"S0034-70942004000600002-scl","Incidência de parada cardíaca durante anestesia, em hospital universitário de atendimento terciário: estudo prospectivo entre 1996 e 2002","Braz, Leandro Gobbo, Braz, José Reinaldo Cerqueira, Módolo, Norma Sueli Pinheiro, Nascimento Júnior, Paulo do, Shuhama, Ana Paula, Navarro, Laís Helena Camacho","Revista Brasileira de Anestesiologia; 54(6); 755-768","Revista Brasileira de Anestesiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942004000600002&lang=pt" 
"S0034-70942004000600004-scl","Raquianestesia posterior para cirurgias anorretais em regime ambulatorial: estudo piloto","Imbelloni, Luiz Eduardo, Vieira, Eneida Maria, Gouveia, Marildo Assunção, Cordeiro, José Antônio","Revista Brasileira de Anestesiologia; 54(6); 774-780","Revista Brasileira de Anestesiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942004000600004&lang=pt" 
"S0034-70942004000600008-scl","Anestesia em paciente portadora de síndrome de Mckusick-Kaufman: relato de caso","Hobaika, Adriano Bechara de Souza, Borges, Ziltomar Donizetti, Teixeira, Vera Coelho","Revista Brasileira de Anestesiologia; 54(6); 799-801","Revista Brasileira de Anestesiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942004000600008&lang=pt" 
"S0034-70942004000600009-scl","Injeção intravascular acidental de ropivacaína a 0,5% durante a realização de anestesia peridural torácica: relato de casos","Curtis, Fábio Geraldo, Furlani, Robson, Castiglia, Yara Marcondes Machado","Revista Brasileira de Anestesiologia; 54(6); 802-808","Revista Brasileira de Anestesiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942004000600009&lang=pt" 
"S0034-70942004000600018-scl","A dor durante a punção do canal vertebral e sua relação com a inervação do ligamento amarelo, da dura-máter e do ligamento longitudinal posterior","Zarzur, Edmundo","Revista Brasileira de Anestesiologia; 54(6); 872-876","Revista Brasileira de Anestesiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942004000600018&lang=pt" 
"S0034-70942004000600014-scl","Intoxicação hídrica durante histeroscopia: relato de caso","Argiro, Triga, Antia, Paraskeva, Filippou, Dimitrios K","Revista Brasileira de Anestesiologia; 54(6); 832-835","Revista Brasileira de Anestesiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942004000600014&lang=pt" 
"S0034-70942004000600017-scl","Hemofilia e anestesia","Flores, Rafael Py Gonçalves, Bagatini, Airton, Santos, Ari Tadeu Lírio dos, Gomes, Cláudio Roberto, Fernandes, Mário Sérgio, Molon, Roger Pelini","Revista Brasileira de Anestesiologia; 54(6); 865-871","Revista Brasileira de Anestesiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942004000600017&lang=pt" 
"S0100-83582004000400014-scl","Comportamento de herbicidas com efeito residual em diferentes coberturas na cultura do feijoeiro","Cobucci, T., Portela, C.M.O., Silva, W., Neto Monteiro, A.","Planta Daninha; 22(4); 591-596","Planta Daninha","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582004000400014&lang=pt" 
"S0100-83582004000400005-scl","Efeito de diferentes períodos de controle das plantas daninhas na produtividade da cultura da cebola","Soares, D.J., Gravena, R., Pitelli, R.A.","Planta Daninha; 22(4); 517-527","Planta Daninha","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582004000400005&lang=pt" 
