"S0100-736X2005000300008-scl","Mortalidade perinatal de cordeiros no semi-árido da Paraíba","Nóbrega Jr, Janduí Escarião da, Riet-Correa, Franklin, Nóbrega, Rossana S., Medeiros, Josemar M. de, Vasconcelos, Jackson S. de, Simões, Sara Vilar D., Tabosa, Ivon M.","Pesquisa Veterinária Brasileira; 25(3); 171-178","Pesquisa Veterinária Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2005000300008&lang=pt" 
"S0100-736X2005000300009-scl","Intoxicação experimental por Manihot glaziovii (Euphorbiaceae) em caprinos","Amorim, Sara Lucena, Medeiros, Rosane M.T., Riet-Correa, Franklin","Pesquisa Veterinária Brasileira; 25(3); 179-187","Pesquisa Veterinária Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2005000300009&lang=pt" 
"S0100-736X2005000300010-scl","Efeitos da everminação de matrizes e de bezerros lactentes em sistema de produção de bovinos de corte na região de Cerrado","Catto, João B., Bianchin, Ivo, Torres Junior, Roberto A.A.","Pesquisa Veterinária Brasileira; 25(3); 188-194","Pesquisa Veterinária Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2005000300010&lang=pt" 
"S0100-736X2005000300005-scl","Granulocyte-macrophage colony-stimulating factor does not increase the potency or efficacy of a foot-and-mouth disease virus subunit vaccine","Caron, Luizinho, Brum, Mario C.S., Moraes, Mauro P., Golde, William T., Arns, Clarice Weis, Grubman, Marvin J.","Pesquisa Veterinária Brasileira; 25(3); 150-158","Pesquisa Veterinária Brasileira","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2005000300005&lang=pt" 
"S0100-736X2005000300001-scl","Editorial","","Pesquisa Veterinária Brasileira; 25(3); -","Pesquisa Veterinária Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2005000300001&lang=pt" 
"S0100-736X2005000300003-scl","Intoxicação em suínos pela ingestão de sementes de Aeschynomene indica (Leg.Papilionoideae)","Oliveira, Fabiano N., Rech, Raquel R., Rissi, Daniel R., Barros, Ricardo R., Barros, Claudio S.L.","Pesquisa Veterinária Brasileira; 25(3); 135-142","Pesquisa Veterinária Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2005000300003&lang=pt" 
"S0042-96862005000900008-spa","","","Bulletin of the World Health Organization; 83(9); 648-649","Bulletin of the World Health Organization","Inglês","2005","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862005000900008&lang=pt" 
"S0042-96862005000900002-spa","WHO&#039;s action for continuous improvement in oral health","Petersen, Poul Erik, Estupinan-Day, Saskia, Ndiaye, Charlotte","Bulletin of the World Health Organization; 83(9); 642-642","Bulletin of the World Health Organization","Inglês","2005","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862005000900002&lang=pt" 
"S0042-96862005000900017-spa","Managing severe acute respiratory syndrome (SARS) intellectual property rights: the possible role of patent pooling","Simon, James H.M., Claassen, Eric, Correa, Carmen E., Osterhaus, Albert D.M.E.","Bulletin of the World Health Organization; 83(9); 707-710","Bulletin of the World Health Organization","Inglês","2005","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862005000900017&lang=pt" 
"S0042-96862005000900015-spa","The role of diet and nutrition in the etiology and prevention of oral diseases","Moynihan, Paula J.","Bulletin of the World Health Organization; 83(9); 694-699","Bulletin of the World Health Organization","Inglês","2005","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862005000900015&lang=pt" 
