"S1853-17842013000200011-arg","","Buis, Emiliano","Revista de historia del derecho; (46); -","Revista de historia del derecho","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-17842013000200011&lang=pt" 
"S1853-17842013000200016-arg","Constitucionalismo y protección penal del matrimonio: La secularización del matrimonio en la evolución histórica del ordenamiento penal español","Berrocal Rengel, David","Revista de historia del derecho; (46); -","Revista de historia del derecho","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-17842013000200016&lang=pt" 
"S1853-17842013000200014-arg","","Guevara Gil, Armando","Revista de historia del derecho; (46); -","Revista de historia del derecho","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-17842013000200014&lang=pt" 
"S1853-17842013000200015-arg","Indalecio Gómez y su época: Sus ideas político-jurídicas","Egües, Carlos","Revista de historia del derecho; (46); -","Revista de historia del derecho","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-17842013000200015&lang=pt" 
"S1853-17842013000200001-arg","El Teniente de rey de Tucumán: Gobierno político, autoridad militar y localización jurisdiccional en Córdoba, 1741-1775","Agüero, Alejandro","Revista de historia del derecho; (46); -","Revista de historia del derecho","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-17842013000200001&lang=pt" 
"S1853-17842013000200003-arg","Memorial cerca de las congruençias de la perpetuydad de las encomiendas de los indios: Un escrito inédito del Licenciado don Francisco de Alfaro, Charcas, circa 1599. Estudio crítico y transcripción","Jurado, Carolina","Revista de historia del derecho; (46); -","Revista de historia del derecho","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-17842013000200003&lang=pt" 
"S1853-17842013000200002-arg","La ley de jubilaciones de 1924 y la posición del anarquismo en la Argentina","Anapios, Luciana","Revista de historia del derecho; (46); -","Revista de historia del derecho","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-17842013000200002&lang=pt" 
"S1853-17842013000200005-arg","Derecho canónico indiano: una hipótesis sobre su naturaleza y contenido","Terráneo, Sebastián","Revista de historia del derecho; (46); -","Revista de historia del derecho","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-17842013000200005&lang=pt" 
"S1853-17842013000200004-arg","La justicia del trabajo: nueva territorialidad del poder judicial bonaerense en la segunda mitad del siglo XX","Stagnaro, Andrés","Revista de historia del derecho; (46); -","Revista de historia del derecho","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-17842013000200004&lang=pt" 
"S1853-17842013000200007-arg","Una vuelta a los orígenes de la Constitución de Cádiz","Agüero, Alejandro","Revista de historia del derecho; (46); -","Revista de historia del derecho","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-17842013000200007&lang=pt" 
"S1853-17842013000200006-arg","Amor, amistad y beneficio en la biblioteca para padres de familia de Francisco Magallón y Magallón: Una defensa tardía de la oeconomia","Zamora, Romina","Revista de historia del derecho; (46); -","Revista de historia del derecho","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-17842013000200006&lang=pt" 
"S1853-17842013000200009-arg","Estudios biográficos de alcance ius-historiográfico: reflexiones sobre nuevas tendencias y líneas de trabajo","Parise, Agustin","Revista de historia del derecho; (46); -","Revista de historia del derecho","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-17842013000200009&lang=pt" 
"S1853-17842013000200008-arg","Enchiridion: otras manos en la Historia del Derecho","Casagrande, Agustín E","Revista de historia del derecho; (46); -","Revista de historia del derecho","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-17842013000200008&lang=pt" 
"S0004-27302013000900001-scl","The role of interferon induced with helicase C domain 1 (IFIH1) in the development of type 1 diabetes mellitus","Bouças, Ana Paula, Oliveira, Fernanda dos Santos de, Canani, Luis Henrique, Crispim, Daisy","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 57(9); 667-676","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302013000900001&lang=pt" 
"S0004-27302013000900004-scl","Dislipidemia e fatores associados em adultos residentes em Ribeirão Preto, SP: resultados do Projeto EPIDCV","Moraes, Suzana Alves de, Checchio, Michele Vantini, Freitas, Isabel Cristina Martins de","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 57(9); 691-701","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302013000900004&lang=pt" 
"S0004-27302013000900005-scl","Exenatide improves type 2 diabetes concomitant with non-alcoholic fatty liver disease","Fan, Hui, Pan, QingRong, Xu, Yuan, Yang, XinChun","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 57(9); 702-708","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302013000900005&lang=pt" 
"S0004-27302013000900006-scl","Reappraisal of serum insulin-like growth factor-I (IGF-1) measurement in the detection of isolated and combined growth hormone deficiency (GHD) during the transition period","Boguszewski, Cesar L., Lacerda, Claudio Silva de, Lacerda Filho, Luiz de, Carvalho, Julienne A. R. de, Boguszewski, Margaret C. S.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 57(9); 709-716","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302013000900006&lang=pt" 
