"S0718-686X2016000100001-chl","Antecedentes preliminares sobre cultivo vegetativo de Ahnfeltia plicata (Hudson) Fries, 1836 en canales subantárticos magallánicos del sur de Chile","Ojeda, Jaime, Rosenfeld, Sebastián, Vega, Nicolás, Mansilla, Andrés","Anales del Instituto de la Patagonia; 44(1); 5-13","Anales del Instituto de la Patagonia","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-686X2016000100001&lang=pt" 
"S2179-975X2016000100321-scl","Comparing two biological indexes using benthic macroinvertebrates: positive and negative aspects of water quality assessment","Rodrigues, Vinicius Moraes, Arruda, Eliane Pintor de, Santos, André Cordeiro Alves dos, Costa, Monica Jones","Acta Limnologica Brasiliensia; 28(); -","Acta Limnologica Brasiliensia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-975X2016000100321&lang=pt" 
"S2317-64312016000100503-scl","Potencial evocado miogênico vestibular ocular: revisão de literatura","Silva, Tatiana Rocha, Resende, Luciana Macedo de, Santos, Marco Aurélio Rocha","Audiology - Communication Research; 21(); -","Audiology - Communication Research","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312016000100503&lang=pt" 
"S2317-64312016000100332-scl","Percepção do ruído, saúde auditiva e qualidade de vida de professores de escolas públicas","Pimentel, Bianca Nunes, Fedosse, Elenir, Rodrigues, Nathana da Graça Sartori, Cruz, Karolline Sérgio, Santos Filha, Valdete Alves Valentins dos","Audiology - Communication Research; 21(); -","Audiology - Communication Research","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312016000100332&lang=pt" 
"S1676-06032016000400202-scl","Melosira (Diatomeae) taxa from the Iguaçu River in southern Brazil","Nardelli, Margaret Seghetto, Tremarin, Priscila Izabel, Ludwig, Thelma Alvim Veiga, Bueno, Norma Catarina","Biota Neotropica; 16(4); -","Biota Neotropica","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032016000400202&lang=pt" 
"S0718-07642016000300012-chl","Comparación Empírica de Varios Métodos para Estimar los Parámetros de la Distribución Lognormal con Traslado","Muñoz, David F, Ruiz, César, Guzman, Sven","Información tecnológica; 27(3); 131-140","Información tecnológica","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642016000300012&lang=pt" 
"S0718-07642016000300020-chl","Sistema de Información Agrícola para la disminución de Brechas entre Oferta y Demanda - AGROCRAFT","Gómez, Urbano E, Pérez, Jesika P, Ramírez, José L","Información tecnológica; 27(3); 215-220","Información tecnológica","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642016000300020&lang=pt" 
"S0718-07642016000300014-chl","Análisis de la Influencia de la Radiación Solar en una Planta de Ciclo Combinado con Colectores Solares Integrados mediante Simulación","Ponce, Carolina V, Valderrama, José O","Información tecnológica; 27(3); 151-160","Información tecnológica","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642016000300014&lang=pt" 
"S0718-07642016000300016-chl","Región de Inestabilidad y Optimización de las Condiciones de Producción de Metanol en un Reactor Lurgi","Gómez, Miguel Á, Dobrosz-Gómez, Izabela, GilPavas, Edison","Información tecnológica; 27(3); 171-178","Información tecnológica","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642016000300016&lang=pt" 
"S0718-07642016000300018-chl","Antena Compacta para Aplicaciones en Satélites de Reducido Tamaño","Suárez, Carlos A, Carroll, Joel, Puerto, Gustavo. A","Información tecnológica; 27(3); 189-198","Información tecnológica","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642016000300018&lang=pt" 
"S0102-69092016000300510-scl","DEMOCRACIA COMO SIGNIFICANTE VAZIO: Promoção democrática na política externa dos Estados Unidos (2001-2008)","Gomes, Aureo de Toledo","Revista Brasileira de Ciências Sociais; 31(92); -","Revista Brasileira de Ciências Sociais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092016000300510&lang=pt" 
"S0718-07642016000300019-chl","Efecto de la Transformada Motif en Desarrollo de Descriptores de Textura para la Extracción de Imágenes","Calderón, Gustavo, Fierro, Atoany N, Nakano, Mariko, Pérez, Hector M","Información tecnológica; 27(3); 199-214","Información tecnológica","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642016000300019&lang=pt" 
"S0718-07642016000300002-chl","Perfil de Ácidos Grasos y Evaluación de las Actividades Antioxidante y Antifúngica del Holotureo Isostichopus badionotus","Pastrana, Orlando J, Santafé, Gilmar G, Torres, Omar L","Información tecnológica; 27(3); 03-10","Información tecnológica","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642016000300002&lang=pt" 
"S0718-07642016000300017-chl","Optimización de las Condiciones de Operación de la Micro-gasificación de Biomasa para Producción de Gas de Síntesis","Ahumada, Luz M, Verdeza, Arnaldo, Bula, Antonio J, Lombana, Jahir","Información tecnológica; 27(3); 179-188","Información tecnológica","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642016000300017&lang=pt" 
"S0718-07642016000300010-chl","Equidad, Accesibilidad y Transporte. Aplicación explicativa mediante un Análisis de Accesibilidad al Sector Universitario de Manizales (Colombia)","Younes, Camilo, Escobar, Diego A, Holguín, Juan M","Información tecnológica; 27(3); 107-118","Información tecnológica","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642016000300010&lang=pt" 
