"S2362-20242012000100002-arg","Buenos Aires en proyectos durante el ciclo de la metropolización","Favelukes, Graciela, Novick, Alicia","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo; 41(1); 6-10","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S2362-20242012000100002&lang=pt" 
"S2362-20242012000100008-arg","La piedra en el papel: La construcción del Palacio del Congreso Nacional","Molinos, Rita","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo; 41(1); 87-98","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S2362-20242012000100008&lang=pt" 
"S2362-20242012000100001-arg","Carta del Director","Sabugo, Mario","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo; 41(1); 4-5","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S2362-20242012000100001&lang=pt" 
"S2362-20242012000100010-arg","Pensar el diseño en clave local","Devalle, Verónica","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo; 41(1); 231-231","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S2362-20242012000100010&lang=pt" 
"S2362-20242012000100007-arg","La arquitectura de las fotos: Buenos Aires en el 1900","Mirás, Marta","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo; 41(1); 71-86","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S2362-20242012000100007&lang=pt" 
"S2362-20242012000100009-arg","Un lugar para la excepción: Problemáticas en torno a la ubicación del rascacielos en Buenos Aires entre 1909 y 1929","Bonicatto, Virginia","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo; 41(1); 99-112","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S2362-20242012000100009&lang=pt" 
"S2362-20242012000100011-arg","Modos de producción de lo visible","Corti, Laura","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo; 41(1); 231-232","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S2362-20242012000100011&lang=pt" 
"S1668-81042012000100006-arg","Intersubjetividad, otredad y reconocimiento. Diálogos fenomenológicos para pensar la cuestión del otro en la filosofía intercultural","Salas Astrain, Ricardo","Cuadernos de la Facultad de Humanidades y Ciencias Sociales. Universidad Nacional de Jujuy; (42); 83-104","Cuadernos de la Facultad de Humanidades y Ciencias Sociales. Universidad Nacional de Jujuy","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-81042012000100006&lang=pt" 
"S1668-81042012000100001-arg","Propuestas en torno a la investigación en Humanidades y Ciencias Sociales. Indagaciones sobre el Humanismo.","Arpini, Adriana María","Cuadernos de la Facultad de Humanidades y Ciencias Sociales. Universidad Nacional de Jujuy; (42); 11-19","Cuadernos de la Facultad de Humanidades y Ciencias Sociales. Universidad Nacional de Jujuy","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-81042012000100001&lang=pt" 
"S1668-81042012000100009-arg","El concepto de solidaridad en Enrique Dussel como resistencia a las prácticas hegemónicas","Elías, Gloria Silvana","Cuadernos de la Facultad de Humanidades y Ciencias Sociales. Universidad Nacional de Jujuy; (42); 131-139","Cuadernos de la Facultad de Humanidades y Ciencias Sociales. Universidad Nacional de Jujuy","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-81042012000100009&lang=pt" 
