"S0100-54052016000400308-scl","Reação de cultivares de algodoeiro a Rhizoctonia solani na fase de plântula e benefícios do tratamento de sementes com fungicidas","Goulart, Augusto César Pereira","Summa Phytopathologica; 42(4); 308-312","Summa Phytopathologica","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052016000400308&lang=pt" 
"S2238-38752016000300635-scl","INTRÉPIDAS IMAGENS: CINEMA E COSMOLOGIA ENTRE OS NAVAJO","Gonçalves, Marco Antonio","Sociologia &amp; Antropologia; 6(3); 635-667","Sociologia &amp; Antropologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2238-38752016000300635&lang=pt" 
"S1982-45132016000300333-scl","Reflexão sobre o papel do setor imobiliário na acumulação urbana","Barbosa, Adauto Gomes, Gomes, Edvânia Tôrres Aguiar","Sociedade &amp; Natureza; 28(3); 333-346","Sociedade &amp; Natureza","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-45132016000300333&lang=pt" 
"S0103-507X2016000400397-scl","Fatores associados à morte materna em unidade de terapia intensiva","Saintrain, Suzanne Vieira, Oliveira, Juliana Gomes Ramalho de, Saintrain, Maria Vieira de Lima, Bruno, Zenilda Vieira, Borges, Juliana Lima Nogueira, Daher, Elizabeth De Francesco, Silva Jr, Geraldo Bezerra da","Revista Brasileira de Terapia Intensiva; 28(4); 397-404","Revista Brasileira de Terapia Intensiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2016000400397&lang=pt" 
"S0034-71402016000400419-scl","Consumption-Wealth Ratio and Expected Stock Returns: Evidence from Panel Data on G7 Countries","Castro, Andressa Monteiro de, Issler, João Victor","Revista Brasileira de Economia; 70(4); 419-440","Revista Brasileira de Economia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71402016000400419&lang=pt" 
"S0103-507X2016000400366-scl","Implicações da sobrecarga na capacidade da unidade de terapia intensiva sobre o cuidado de pacientes críticos","Kohn, Rachel, Halpern, Scott D., Kerlin, Meeta Prasad","Revista Brasileira de Terapia Intensiva; 28(4); 366-368","Revista Brasileira de Terapia Intensiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2016000400366&lang=pt" 
"S0103-507X2016000400405-scl","Paradoxo dos fatores de risco na ocorrência de parada cardiorrespiratória em pacientes com síndrome coronária aguda","Rosa, Silvia Aguiar, Timóteo, Ana Teresa, Nogueira, Marta Afonso, Belo, Adriana, Ferreira, Rui Cruz","Revista Brasileira de Terapia Intensiva; 28(4); 405-412","Revista Brasileira de Terapia Intensiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2016000400405&lang=pt" 
"S1409-42582016000300415-cri","Impacto educativo de un instrumento didáctico que complementa al TADIR para conceptos de la estática en estudiantes de ingeniería de México","Morales-García, Federico Alonso, Ramírez-Díaz, Mario Humberto","Revista Electrónica Educare; 20(3); 415-427","Revista Electrónica Educare","Espanhol","2016","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-42582016000300415&lang=pt" 
"S0717-75262016000600014-chl","El aborto en Chile: aspectos epidemiológicos, históricos y legales","Donoso S, Enrique, Vera P-G, Claudio","Revista chilena de obstetricia y ginecología; 81(6); 534-545","Revista chilena de obstetricia y ginecología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262016000600014&lang=pt" 
"S0100-39842016000600403-scl","Massive thymoma of the mid-posterior mediastinum: an unprecedented case in a young adult","Oliveira, Karen Fernandes de, Rodrigues, Marcio Maciel, Lopes, Gesner Pereira, Almeida, Renan Sandoval de, Lusvarghi, Juliana Lopes, Santos, João Paulo Vieira dos","Radiologia Brasileira; 49(6); 403-405","Radiologia Brasileira","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842016000600403&lang=pt" 
