"S0103-84782012000100015-scl","Caracterização morfológica de frutos, de sementes e do desenvolvimento pós-seminal de Licania tomentosa (Benth.) Fritsch","Monteiro, Kênia Leite, Oliveira, Camila de, Silva, Breno Marques da Silva e, Môro, Fabiola Vitti, Carvalho, Douglas Antônio de","Ciência Rural; 42(1); 90-97","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000100015&lang=pt" 
"S0103-84782012000100001-scl","Preferência hospedeira do parasitoide de ovos Trichogramma pretiosum","Siqueira, Jullyana Rodrigues, Bueno, Regiane Cristina Oliveira de Freitas, Bueno, Adeney de Freitas, Vieira, Simone Silva","Ciência Rural; 42(1); 1-5","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000100001&lang=pt" 
"S0103-84782012000100006-scl","Caracterização do cultivo de trigo na região norte do Estado do Rio Grande do Sul através das estimativas oficiais de área cultivada, produção e rendimento de grãos","Junges, Amanda Heemann, Fontana, Denise Cybis, Melo, Ricardo Wanke de","Ciência Rural; 42(1); 31-37","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000100006&lang=pt" 
"S0103-84782012000100011-scl","Eficiência térmica de telhas onduladas de fibrocimento aplicadas em abrigos individuais para bezerros expostos ao sol e à sombra","Fiorelli, Juliano, Schmidt, Rene, Kawabata, Celso Yoji, Oliveira, Celso Eduardo Lins de, Savastano Junior, Holmer, Rossignolo, João Adriano","Ciência Rural; 42(1); 64-67","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000100011&lang=pt" 
"S0103-84782012000100003-scl","Tamanho de amostra para a estimação da média de duração dos períodos larval, pupal e larval mais pupal de Microtheca spp. por bootstrap","Cargnelutti Filho, Alberto, Toebe, Marcos, Sturza, Vinícius Soares, Bolzan, Anderson, Silveira, Tatiani Reis da, Dequech, Sônia Thereza Bastos","Ciência Rural; 42(1); 13-16","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000100003&lang=pt" 
"S1415-47572012000100017-scl","Molecular identification of Pichia guilliermondii, Debaryomyces hansenii and Candida palmioleophila","Mota, Adolfo Jose, Back-Brito, Graziella Nuernberg, Nobrega, Francisco G.","Genetics and Molecular Biology; 35(1); 122-125","Genetics and Molecular Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572012000100017&lang=pt" 
"S1415-47572012000100002-scl","STGC3 inhibits xenograft tumor growth of nasopharyngeal carcinoma cells by altering the expression of proteins associated with apoptosis","Qiu, Qing-chao, Hu, Bo, He, Xiu-pei, Luo, Qiao, Tang, Guo-hua, Long, Zhi-feng, Chen, Zhu-chu, He, Xiu-sheng","Genetics and Molecular Biology; 35(1); 18-26","Genetics and Molecular Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572012000100002&lang=pt" 
"S1415-47572012000100006-scl","Haplotype diversity of 17 Y-str loci in an admixed population from the Brazilian Amazon","Francez, Pablo Abdon da Costa, Ramos, Luiz Patrick Vidal, Palha, Teresinha de Jesus Brabo Ferreira, Santos, Sidney Emanuel Batista dos","Genetics and Molecular Biology; 35(1); 45-52","Genetics and Molecular Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572012000100006&lang=pt" 
"S1415-47572012000100010-scl","Polymorphic heterologous microsatellite loci for population genetics studies of the white-faced ibis Plegadis chihi (Vieillot, 1817) (Pelecaniformes, Threskiornithidae)","Souza, Andiara Silos Moraes de Castro e, Miño, Carolina Isabel, Lama, Silvia Nassif Del","Genetics and Molecular Biology; 35(1); 74-80","Genetics and Molecular Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572012000100010&lang=pt" 
"S1415-47572012000100020-scl","Analysis of 16S rRNA and mxaF genes reveling insights into Methylobacterium niche-specific plant association","Dourado, Manuella Nóbrega, Andreote, Fernando Dini, Dini-Andreote, Francisco, Conti, Raphael, Araújo, Janete Magali, Araújo, Welington Luiz","Genetics and Molecular Biology; 35(1); 142-148","Genetics and Molecular Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572012000100020&lang=pt" 
"S1415-47572012000100022-scl","Metformin (dimethyl-biguanide) induced DNA damage in mammalian cells","Amador, Rubem R., Longo, João Paulo Figueiró, Lacava, Zulmira G., Dórea, José G., Santos, Maria de Fátima M. Almeida","Genetics and Molecular Biology; 35(1); 153-158","Genetics and Molecular Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572012000100022&lang=pt" 
"S1415-47572012000100008-scl","Cytogenetic characterization of F1, F2 and backcross hybrids of the Neotropical catfish species Pseudoplatystoma corruscans and Pseudoplatystoma reticulatum (Pimelodidae, Siluriformes)","Prado, Fernanda Dotti do, Nunes, Tatiana Leite, Senhorini, José Augusto, Bortolozzi, Jehud, Foresti, Fausto, Porto-Foresti, Fábio","Genetics and Molecular Biology; 35(1); 57-64","Genetics and Molecular Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572012000100008&lang=pt" 
"S1415-47572012000100026-scl","Molecular cloning and in silico analysis of the duck (Anas platyrhynchos) MEF2A gene cDNA and its expression profile in muscle tissues during fetal development","Liu, Hehe, Wang, Jiwen, Si, Jianmin, Jia, Jing, Li, Liang, Han, Chunchun, Huang, Kailiang, He, Hua, Xu, Feng","Genetics and Molecular Biology; 35(1); 182-190","Genetics and Molecular Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572012000100026&lang=pt" 
