"S0187-893X2012000500003-mex","¿Cómo diversificar los trabajos prácticos?: Un experimento ilustrativo y un ejercicio práctico como ejemplos","Hernández-Millán, Gisela, Irazoque-Palazuelos, Glinda, López-Villa, Norma M.","Educación química; 23(); 101-111","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000500003&lang=pt" 
"S0187-893X2012000400003-mex","Pre-University Chemistry Inquiry Learning","van Rens, Lisette","Educación química; 23(4); 422-432","Educación química","Inglês","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000400003&lang=pt" 
"S0187-893X2012000300012-mex","La terminología química durante el siglo XIX: Retos, polémicas y transformaciones","Bertomeu-Sánchez, José Ramón, Muñoz-Bello, Rosa","Educación química; 23(3); 405-410","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000300012&lang=pt" 
"S0187-893X2012000400005-mex","Teaching about Scientific Models in a Science Content Course","Schwartz, Renée, Skjold, Brandy","Educación química; 23(4); 451-457","Educación química","Inglês","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000400005&lang=pt" 
"S0187-893X2012000500004-mex","La integración de los trabajos prácticos en la enseñanza de la química como investigación dirigida","Martínez Torregrosa, Joaquín, Domènech Blanco, Josep Lluís, Menargues, Asunción, Romo Guadarrama, Guillermo","Educación química; 23(); 112-126","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000500004&lang=pt" 
"S0187-893X2012000100006-mex","Química Inorgánica Medicinal: vanadio, platino, oro","Aguilar Cuevas, Oscar, Castro Ramírez, Rodrigo, Sánchez García, Jessica J., López-Sandoval, Horacio, Barba-Behrens, Noráh","Educación química; 23(1); 33-40","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000100006&lang=pt" 
"S0187-893X2012000500005-mex","Síntesis microquímica y microelectroquímica de acetato de cobre(II) a partir de vinagre: Un ejemplo de química verde","Arroyo-Carmona, Rosa Elena, Bernès, Sylvain, González-Vergara, Enrique, Méndez-Rojas, Miguel Ángel, Pérez-Benítez, Aarón","Educación química; 23(); 127-135","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000500005&lang=pt" 
"S0187-893X2012000500001-mex","Enseñanza experimental. ¿Cómo y para qué?","Hernández Millán, Gisela","Educación química; 23(); 92-94","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000500001&lang=pt" 
"S0187-893X2012000100005-mex","Importancia del molibdeno en los sistemas biológicos y su papel en enzimas mononucleares como parte del cofactor Moco","Pérez-González, Arely, Gómez-Peralta, Juan Iván, Garza-Ortiz, Ariadna, Barba-Behrens, Noráh","Educación química; 23(1); 23-32","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000100005&lang=pt" 
"S0187-893X2012000300004-mex","Análisis de blogs y libros para profesores sobre Química cotidiana: Una mirada desde la problematización y la contextualización","Martínez-DelÁguila, Rosario, Jiménez-Liso, María Rut","Educación química; 23(3); 346-354","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000300004&lang=pt" 
"S0187-893X2012000300008-mex","Determinación de metales pesados en el agua de un canal de Xochimilco (México, D.F.) como proyecto de Servicio Social","Moreno-Bonett, Consuelo, Zugazagoitia-Herranz, Rosa, Sánchez-Martínez, Cristina, Córdoba-Moreno, Rebeca, Melo-Ruíz, Virginia","Educación química; 23(3); 375-382","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000300008&lang=pt" 
"S0187-893X2012000300006-mex","Estructura de la materia: de saberes y pensares","Martínez, Ana, Valdés, Jesús, Talanquer, Vicente, Chamizo, José Antonio","Educación química; 23(3); 361-369","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000300006&lang=pt" 
"S0187-893X2012000600008-mex","La naturaleza de la química","Chamizo, José Antonio, Castillo, Daniela, Pacheco, Irys","Educación química; 23(); 298-304","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000600008&lang=pt" 
"S0187-893X2012000100003-mex","Re-creando simulaciones con la hoja de cálculo","Raviolo, Andrés","Educación química; 23(1); 11-15","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000100003&lang=pt" 
"S0187-893X2012000400007-mex","Thomas Carnelley","Wisniak, Jaime","Educación química; 23(4); 465-473","Educación química","Inglês","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000400007&lang=pt" 
"S0187-893X2012000400010-mex","Obstáculos en la evaluación diagnóstica: Una propuesta de superación mediante la identificación de modelos presentes en el curso","Espíndola, Carlos R., Cappannini, Osvaldo M.","Educación química; 23(4); 484-491","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000400010&lang=pt" 
"S0187-893X2012000600007-mex","Understanding stoichiometry: Towards a history and philosophy of chemistry","Niaz, Mansoor, Montes, Luis A.","Educación química; 23(); 290-297","Educación química","Inglês","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000600007&lang=pt" 
