"S0256-95742010000900017-sza","Is &#039;planning&#039; missing from our family planning services?","Crede, Sarah, Harries, Jane, Constant, Deborah, Hoke, Theresa Hatzell, Green, Mackenzie, Moodley, Jennifer","SAMJ: South African Medical Journal; 100(9); 579-580","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900017&lang=pt" 
"S0256-95742010000900018-sza","New fly species causing human myiasis identified in Eastern Cape, South Africa","Kuria, S K, Kingu, H J C, Vasaikar, S D, Mkhize, J N, Iisa, J M, Dhaffala, A","SAMJ: South African Medical Journal; 100(9); 580-581","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900018&lang=pt" 
"S0256-95742010000900019-sza","Intimate partner violence, health behaviours, and chronic physical illness among South African women","Gass, Jesse D, Stein, Dan J, Williams, David R, Seedat, Soraya","SAMJ: South African Medical Journal; 100(9); 582-585","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900019&lang=pt" 
"S0256-95742010000900020-sza","Guns and gender-based violence in South Africa","Abrahams, Naeemah, Jewkes, Rachel, Mathews, Shanaaz","SAMJ: South African Medical Journal; 100(9); 586-588","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900020&lang=pt" 
"S0256-95742010000900021-sza","Towards universal ARV access: achievements and challenges in Free State province, South Africa","Uebel, Kerry E, Timmerman, Venessa, Ingle, Suzanne M, van Rensburg, Dingie H C J, Mollentze, Willie F","SAMJ: South African Medical Journal; 100(9); 589-593","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900021&lang=pt" 
"S0256-95742010000900022-sza","Epidemiology of conventional cardiovascular risk factors among hypertensive subjects with normal and impaired fasting glucose","Akintunde, A A","SAMJ: South African Medical Journal; 100(9); 594-597","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900022&lang=pt" 
"S0256-95742010000900023-sza","Dual time-point FDG PET/CT for differentiating benign from malignant solitary pulmonary nodules in a TB endemic area","Sathekge, Mike Machaba, Maes, Alex, Pottel, Hans, Stoltz, Anton, van de Wiele, Christophe","SAMJ: South African Medical Journal; 100(9); 598-601","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900023&lang=pt" 
"S0256-95742010000900024-sza","Clinical predictors of low CD4 count among HIV-infected pulmonary tuberculosis clients: a health facility-based survey","Nzou, Chidzewere, Kambarami, Rose A, Onyango, Francis E, Ndhlovu, Chiratidzo E, Chikwasha, Vasco","SAMJ: South African Medical Journal; 100(9); 602-605","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900024&lang=pt" 
"S0104-14282010000300010-scl","Tratamento de superfície de tubos de poliamida 11 com chama para deposição de revestimento hidrofílico biomédico","Martins, Waldemar F. M., Fúcio, Débora M., Mattoso, Frederico S., Wiggers, William S., Salmória, Gean V.","Polímeros; 20(3); 205-209","Polímeros","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282010000300010&lang=pt" 
"S0104-14282010000300001-scl","Mensagem do Presidente da aBPol","Álvares, Dellyo Ricardo S.","Polímeros; 20(3); e1-e1","Polímeros","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282010000300001&lang=pt" 
