"S1413-81232013000900016-scl","Percepção de familiares e profissionais de saúde sobre os cuidados no final da vida no âmbito da atenção primária à saúde","Queiroz, Ana Helena Araújo Bomfim, Pontes, Ricardo José Soares, Souza, Ângela Maria Alves e, Rodrigues, Thamy Braga","Ciência &amp; Saúde Coletiva; 18(9); 2615-2623","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900016&lang=pt" 
"S1413-81232013000900018-scl","Percepção dos profissionais que atuam numa instituição de longa permanência para idosos sobre a morte e o morrer","Oliveira, Patrícia Peres de, Amaral, Juliana Gimenez, Viegas, Selma Maria da Fonseca, Rodrigues, Andrea Bezerra","Ciência &amp; Saúde Coletiva; 18(9); 2635-2644","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900018&lang=pt" 
"S1413-81232013000900019-scl","Conhecimento, envolvimento e sentimentos de concluintes dos cursos de medicina, enfermagem e psicologia sobre ortotanásia","Santos, Luís Roberto Gonçalves dos, Menezes, Mariana Pires, Gradvohl, Silvia Mayumi Obana","Ciência &amp; Saúde Coletiva; 18(9); 2645-2651","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900019&lang=pt" 
"S1413-81232013000900020-scl","A construção da &quot;boa morte&quot; em diferentes etapas da vida: reflexões em torno do ideário paliativista para adultos e crianças","Menezes, Rachel Aisengart, Barbosa, Patricia de Castro","Ciência &amp; Saúde Coletiva; 18(9); 2653-2662","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900020&lang=pt" 
"S1413-81232013000900021-scl","Perda e luto: vivências de mulheres que interromperam a gestação por malformação fetal letal","Consonni, Elenice Bertanha, Petean, Eucia Beatriz Lopes","Ciência &amp; Saúde Coletiva; 18(9); 2663-2670","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900021&lang=pt" 
"S1413-81232013000900022-scl","O adoecer e morrer de mulher jovem com câncer de mama","Dolina, Janderléia Valéria, Bellato, Roseney, Araújo, Laura Filomena Santos de","Ciência &amp; Saúde Coletiva; 18(9); 2671-2680","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900022&lang=pt" 
"S1413-81232013000900023-scl","La muerte como proceso: una perspectiva antropológica","Martínez, Bárbara","Ciência &amp; Saúde Coletiva; 18(9); 2681-2689","Ciência &amp; Saúde Coletiva","Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900023&lang=pt" 
"S1413-81232013000900025-scl","Procedimentos para lidar com o tabu da morte","Pereira, José Carlos","Ciência &amp; Saúde Coletiva; 18(9); 2699-2709","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900025&lang=pt" 
"S1413-81232013000900026-scl","Impacto da morte do filho sobre a conjugalidade dos pais","Morelli, Ana Bárbara, Scorsolini-Comin, Fabio, Santos, Manoel Antônio dos","Ciência &amp; Saúde Coletiva; 18(9); 2711-2720","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900026&lang=pt" 
"S1413-81232013000900027-scl","Experiência em cuidados paliativos à criança portadora de leucemia: a visão dos profissionais","Nascimento, Danielle Moreira, Rodrigues, Thaisa Gino, Soares, Mayara Rosário, Rosa, Marina Lira Santos, Viegas, Selma Maria da Fonseca, Salgado, Patrícia de Oliveira","Ciência &amp; Saúde Coletiva; 18(9); 2721-2728","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900027&lang=pt" 
"S1413-81232013000900029-scl","Eutanásia, distanásia e ortotanásia: revisão integrativa da literatura","Felix, Zirleide Carlos, Costa, Solange Fátima Geraldo da, Alves, Adriana Marques Pereira de Melo, Andrade, Cristiani Garrido de, Duarte, Marcella Costa Souto, Brito, Fabiana Medeiros de","Ciência &amp; Saúde Coletiva; 18(9); 2733-2746","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900029&lang=pt" 
"S1413-81232013000900030-scl","Notícias difíceis e o posicionamento dos oncopediatras: revisão bibliográfica","Afonso, Selene Beviláqua Chaves, Minayo, Maria Cecília de Souza","Ciência &amp; Saúde Coletiva; 18(9); 2747-2756","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900030&lang=pt" 
"S1413-81232013000900032-scl","A influência do luto no comportamento alimentar e suas implicações nas condutas nutricionais","Campos, Maria Teresa Fialho de Sousa","Ciência &amp; Saúde Coletiva; 18(9); 2769-2779","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900032&lang=pt" 
"S0104-40602013000300006-scl","Raul Lino, protagonista de uma mudança na arquitetura escolar durante a I República Portuguesa","Silva, Carlos Manique da","Educar em Revista; (49); 83-102","Educar em Revista","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602013000300006&lang=pt" 
"S0104-40602013000300007-scl","Objetos de ensino: a renovação pedagógica e material da escola primária no Brasil, no século XX","Souza, Rosa Fátima de","Educar em Revista; (49); 103-120","Educar em Revista","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602013000300007&lang=pt" 
"S0104-40602013000300008-scl","A lousa de uso escolar: traços da história de uma tecnologia da escola moderna","Barra, Valdeniza Maria Lopes da","Educar em Revista; (49); 121-137","Educar em Revista","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602013000300008&lang=pt" 
"S0104-40602013000300009-scl","Das mãos para as mentes: protocolos de civilidade em um jornal escolar/SC (1945-1952)","Cunha, Maria Teresa Santos","Educar em Revista; (49); 139-159","Educar em Revista","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602013000300009&lang=pt" 
"S0104-40602013000300011-scl","Cultura, material escolar e formação de professores: como disciplinar o corpo - imagens e textos","Corrêa, Rosa Lydia Teixeira","Educar em Revista; (49); 183-205","Educar em Revista","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602013000300011&lang=pt" 
"S0104-40602013000300012-scl","O processo de profissionalização docente e a criação da Escola Normal em Sergipe (1827-1879)","Amorim, Simone Silveira, Ferronato, Cristiano","Educar em Revista; (49); 209-225","Educar em Revista","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602013000300012&lang=pt" 
"S0104-40602013000300013-scl","A educação nos anais da Constituinte Republicana do Estado do Paraná - 1892","Machado, Maria Cristina Gomes, Cury, Carlos Roberto Jamil","Educar em Revista; (49); 227-243","Educar em Revista","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602013000300013&lang=pt" 
