"S1688-74682011000100002-ury","Hacia la reforma de la educación media: temas, desafíos y propuestas","Opertti, Renato","Páginas de Educación; 4(1); 11-32","Páginas de Educación","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-74682011000100002&lang=pt" 
"S1688-74682011000100009-ury","Mejoramiento profesional de maestras de escuela rural: ideas inspiradoras de Julio Castro y la educación fundamental","Esteva, Gabriela","Páginas de Educación; 4(1); 160-180","Páginas de Educación","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-74682011000100009&lang=pt" 
"S2007-07052011000200009-mex","Antecedentes teóricos y niveles de análisis de la identidad organizacional","Contreras Armenta, Cecilio, Hernández Rodríguez, Ezequiel","Nova scientia; 3(6); 158-179","Nova scientia","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-07052011000200009&lang=pt" 
"S2007-07052011000200008-mex","Escala de Actitudes hacia Lesbianas y Hombres Homosexuales en México 1: Estructura factorial y consistencia interna","Moral de la Rubia, José, Valle de la O, Adrián","Nova scientia; 3(6); 139-157","Nova scientia","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-07052011000200008&lang=pt" 
"S2007-07052011000200005-mex","Los campos fantasmas en la renormalización de un modelo Lagrangiano t-J","Zandron, Oscar P.","Nova scientia; 3(6); 68-94","Nova scientia","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-07052011000200005&lang=pt" 
"S2007-07052011000200004-mex","Phenomenological survey on the potential profile evolution in III-V binary compounds","Mendoza Álvarez, Alejandro, Fernández Anaya, Guillermo, Flores-Godoy, José Job, Diago-Cisneros, Leo","Nova scientia; 3(6); 47-67","Nova scientia","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-07052011000200004&lang=pt" 
"S2007-07052011000200007-mex","Calidad Habitacional en dos conjuntos pioneros de diseño urbano arquitectónico, en Mérida Yucatán","Torres Pérez, María Elena","Nova scientia; 3(6); 121-138","Nova scientia","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-07052011000200007&lang=pt" 
"S2007-07052011000200006-mex","Perfil de ingreso de alumnos con buen desempeño académico en el primer año de estudios: El caso de la Escuela de Diseño de la Universidad De La Salle Bajío","Esparza Olmos, María Daniela, López Olmos, Rafael","Nova scientia; 3(6); 95-120","Nova scientia","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-07052011000200006&lang=pt" 
"S2007-07052011000200001-mex","Frecuencia espontánea e inducida de micronúcleos transplacentarios en ratones Balb/c","Arencibia Arrebola, Daniel Francisco, Rosario Fernández, Luis Alfredo, Suárez Fernández, Yolanda Emilia, Delgado Roche, Livan, Infante Bourzac, Juan Francisco","Nova scientia; 3(6); 01-15","Nova scientia","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-07052011000200001&lang=pt" 
"S2007-07052011000200003-mex","Efecto de la aplicación de la vacuna antirrábica en canes vacunados durante la campaña de vacunación antirrábica masiva en Lima, Perú en 1993","Rodríguez, Augusto, Villanueva, M., Arana, H., Rengifo, L., Sánchez-Venegas, Jaime R.","Nova scientia; 3(6); 32-46","Nova scientia","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-07052011000200003&lang=pt" 
"S2007-07052011000200002-mex","Aplicación del método de Krige para el análisis de cobertura de un nodo B","López-Bonilla, José Luis, Ponce-Rojas, Yazmín, Vidal-Beltrán, Sergio, Zamudio-Castro, Iván","Nova scientia; 3(6); 16-31","Nova scientia","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-07052011000200002&lang=pt" 
"S2074-77052011000200006-sza","Religion and violence in a globalised world","Huber, Wolfgang","Verbum et Ecclesia; 32(2); 1-8","Verbum et Ecclesia","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2074-77052011000200006&lang=pt" 
"S2074-77052011000200007-sza","The pastor as model for peaceful existence","Cooke, Terence","Verbum et Ecclesia; 32(2); 1-6","Verbum et Ecclesia","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2074-77052011000200007&lang=pt" 
"S2074-77052011000200004-sza","&#039;Mission and Power&#039; - The relevance of the Edinburgh 2010 discussion in the theological engagement with violence","Niemandt, Cornelius J.P.","Verbum et Ecclesia; 32(2); 1-7","Verbum et Ecclesia","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2074-77052011000200004&lang=pt" 
