"S0006-87052011000300018-scl","Frações húmicas da matéria orgânica do solo cultivado com soja sobre palhada de braquiária e sorgo","Rossi, Celeste Queiroz, Pereira, Marcos Gervasio, Giacomo, Simone Guimarães, Betta, Marconi, Polidoro, José Carlos","Bragantia; 70(3); 622-630","Bragantia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052011000300018&lang=pt" 
"S0006-87052011000300024-scl","Pré-resfriamento para conservação pós-colheita de melões Cantaloupe &#039;Hy Mark&#039;","Brackmann, Auri, Oliveira Anese, Rogério de, Giehl, Ricardo Fabiano Hettwer, Weber, Anderson, Eisermann, Ana Cristina, Sestari, Ivan","Bragantia; 70(3); 672-676","Bragantia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052011000300024&lang=pt" 
"S0006-87052011000300025-scl","Sensibilidade da rosa &#039;Osiana&#039; ao etileno","Cordeiro, Delaine Cristina, Finger, Fernando Luiz, Santos, Joice Simone dos, Karsten, Juliane, Barbosa, José Geraldo","Bragantia; 70(3); 677-681","Bragantia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052011000300025&lang=pt" 
"S0006-87052011000300032-scl","","","Bragantia; 70(3); 729-729","Bragantia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052011000300032&lang=pt" 
"S0006-87052011000300005-scl","Resistência à mancha preta em populações F4 selecionadas de cruzamentos entre o amendoim cultivado e um anfidiplóide de Arachis","Santos, João Francisco dos, Godoy, Ignácio José de, Fávero, Alessandra Pereira, Moura, Nara Fernandes, Michelotto, Marcos Doniseti, Martins, Antonio Lucio Mello","Bragantia; 70(3); 512-518","Bragantia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052011000300005&lang=pt" 
"S0006-87052011000300014-scl","Seleção do local de aplicação e do estádio fenológico do algodoeiro para inoculação do agente da ramulose","Barrocas, Ellen Noly, Machado, José da Cruz, Alves, Marcelo de Carvalho","Bragantia; 70(3); 586-599","Bragantia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052011000300014&lang=pt" 
"S0036-36342011000800016-mex","Sistema de salud de Honduras","Bermúdez-Madriz, Juan Luis, Sáenz, María del Rocío, Muiser, Jorine, Acosta, Mónica","Salud Pública de México; 53(); s209-s219","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000800016&lang=pt" 
"S0036-36342011000800011-mex","Sistema de salud de Costa Rica","Sáenz, María del Rocío, Acosta, Mónica, Muiser, Jorine, Bermúdez, Juan Luis","Salud Pública de México; 53(); s156-s167","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000800011&lang=pt" 
"S0036-36342011000800015-mex","Sistema de salud de Guatemala","Becerril-Montekio, Víctor, López-Dávila, Luis","Salud Pública de México; 53(); s197-s197","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000800015&lang=pt" 
"S0036-36342011000800013-mex","Sistema de salud de Ecuador","Lucio, Ruth, Villacrés, Nilhda, Henríquez, Rodrigo","Salud Pública de México; 53(); s177-s187","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000800013&lang=pt" 
"S0036-36342011000700005-mex","Transmisión nosocomial de la hepatitis C asociada a procedimientos anestésicos: un estudio de casos y controles","Contreras, Ana M, Sotelo, Marcela, Celis, Alfredo, Villalobos, Diana B, Ancona-Piste, Óscar, Ochoa-Jiménez, Rodolfo J, López-Ramírez, Karina","Salud Pública de México; 53(); S19-S25","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000700005&lang=pt" 
"S0036-36342011000700006-mex","Heterogeneous distribution of hepatitis B serological markers in rural areas of Mexico","Juárez-Figueroa, Luis A, Uribe-Salas, Felipe Javier, Conde-González, Carlos Jesús","Salud Pública de México; 53(); S26-S31","Salud Pública de México","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000700006&lang=pt" 
"S0036-36342011000800005-mex","Household catastrophic health expenditures: a comparative analysis of twelve Latin American and Caribbean Countries","Knaul, Felicia Marie, Wong, Rebeca, Arreola-Ornelas, Héctor, Méndez, Oscar, Bitran, Ricardo, Campino, Antonio Carlos, Flórez Nieto, Carmen Elisa, Fontes, Roberto lunes, Giedion, Ursula, Maceira, Daniel, Rathe, Magdalena, Valdivia, Martin, Vargas, Juan Rafael, Díaz, Juan José, Econ, María Dolores Montoya, Valdes, Werner, Carmona, Ricardo Valladares, Zuniga, Maria Paola, Lafontaine, Liv, Muñoz, Rodrigo, Pardo, Renata, Reynoso, Ana María, Santana, María Isabel, Vidarte, Rosa","Salud Pública de México; 53(); s85-s95","Salud Pública de México","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000800005&lang=pt" 
"S0036-36342011000800020-mex","Sistema de salud de República Dominicana","Rathe, Magdalena, Moliné, Alejandro","Salud Pública de México; 53(); s255-s264","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000800020&lang=pt" 
"S0036-36342011000800017-mex","Sistema de salud de México","Dantés, Octavio Gómez, Sesma, Sergio, Becerril, Victor M., Knaul, Felicia M., Arreola, Héctor, Frenk, Julio","Salud Pública de México; 53(); s220-s232","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000800017&lang=pt" 
"S0036-36342011000700009-mex","Viral hepatitis infection and insulin resistance: a review of the pathophysiological mechanisms","Gutiérrez-Grobe, Ylse, Ponciano-Rodríguez, Guadalupe, Méndez-Sánchez, Nahum","Salud Pública de México; 53(); S46-S51","Salud Pública de México","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000700009&lang=pt" 
"S0036-36342011000800022-mex","Sistema de salud de Venezuela","Bonvecchio, Anabelle, Becerril-Montekio, Victor, Carriedo-Lutzenkirchen, Ángela, Landaeta-Jiménez, Maritza","Salud Pública de México; 53(); s275-s286","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000800022&lang=pt" 
