"S1909-24742010000200004-col","SENSIBILIDAD Y RESISTENCIA DE GÉRMENES INTRA Y EXTRA HOSPITALARIOS EN EL HOSPITAL INFANTIL UNIVERSITARIO DE LA CRUZ ROJA DE MANIZALES, 2007","GALVIS MONROY, IOVAN A, BARRERA ARIZA, LEONARDO","Luna Azul; (31); 26-40","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000200004&lang=pt" 
"S1909-24742010000200005-col","DESCRIPCIÓN SOCIOAMBIENTAL DEL SUELO EN EL VALLE GEOGRÁFICO DEL RÍO CAUCA: EL CASO DE LA AGROINDUSTRIA AZUCARERA","CORTES ORTIZ, BRIGETTE TARYN","Luna Azul; (31); 41-57","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000200005&lang=pt" 
"S1909-24742010000200006-col","ETNOGRAFÍAS SOCIO-TERRITORIALES DE LA MIGRACIÓN Y LA MOVILIDAD EN EL MAGDALENA MEDIO: Los casos de la avalancha de Armero, la Reserva de Mariquita y la gentrificación de Honda","NATES CRUZ, BÉATRIZ","Luna Azul; (31); 58-74","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000200006&lang=pt" 
"S1909-24742010000200007-col","LA METÁFORA DEL NO-LUGAR","JARAMILLO E, LUIS GUILLERMO, AGUIRRE G, JUAN CARLOS","Luna Azul; (31); 75-86","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000200007&lang=pt" 
"S1909-24742010000200001-col","LAS INQUIETANTES RELACIONES ENTRE LA PAZ, EL AMBIENTE Y EL DESARROLLO","López, Mario Hernán","Luna Azul; (31); 6-7","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000200001&lang=pt" 
"S1909-24742010000200002-col","ESTUDIO DE MÉTODOS QUÍMICOS DE REMOCIÓN DE CIANURO PRESENTE EN RESIDUOS DE CIANURACIÓN PROVENIENTES DEL PROCESO DE EXTRACCIÓN DE ORO DE VETA EN EL DEPARTAMENTO DE NARIÑO","FAJARDO, JONNY ARIEL, BURBANO, DIANA CAROLINA, BURBANO, EDITH JACKELINE, APRAEZ, NÉSTOR JAVIER, MOREANO, MILTON ROSERO","Luna Azul; (31); 8-16","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000200002&lang=pt" 
"S1909-24742010000200003-col","IDENTIFICACIÓN DE CIANOBACTERIAS POTENCIALMENTE PRODUCTORAS DE CIANOTOXINAS EN LA CURVA DE SALGUERO DEL RÍO CESAR","RIVERA GONZÁLEZ, MASSIEL, GÓMEZ GÓMEZ, LILIANA","Luna Azul; (31); 17-25","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000200003&lang=pt" 
"S1909-24742010000200008-col","ASPECTOS DEL DESARROLLO INSTITUCIONAL AMBIENTAL EN ARGENTINA","JULIÁ, MARTA SUSANA","Luna Azul; (31); 87-103","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000200008&lang=pt" 
"S1909-24742010000200009-col","TERRITORIO, TURISMO Y COMPETITIVIDAD: METÁFORAS DE ÉXITO Y DESEO DE PROGRESO EN EL MEDIO MAGDALENA","HERNÁNDEZ PULGARÍN, GREGORIO","Luna Azul; (31); 104-121","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000200009&lang=pt" 
"S1909-24742010000200013-col","LA CREACIÓN... O... LA DICHA DE PARTIR A NINGUNA PARTE","LÓPEZ RACHE, VÍCTOR","Luna Azul; (31); 170-175","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000200013&lang=pt" 
"S1909-24742010000200012-col","INTERDISCIPLINARIEDAD: DESAFÍO PARA LA EDUCACIÓN SUPERIOR Y LA INVESTIGACIÓN","CARVAJAL ESCOBAR, YESID","Luna Azul; (31); 156-169","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000200012&lang=pt" 
