"S0100-512X2015000100129-scl","IL CONCETTO AGOSTINIANO DI FUTURO: &quot;CONFESSIONES&quot;, XI","Silva, Maurizio Filippo Di","Kriterion: Revista de Filosofia; 56(131); 129-148","Kriterion: Revista de Filosofia","Italiano","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-512X2015000100129&lang=pt" 
"S1809-68912015000200225-scl","TOXOPLASMOSIS: MORPHOLOGICAL AND MORPHOMETRIC EVALUATION OF SPINAL CORD NEURONS FROM NONSYMPTOMATIC SEROPOSITIVE DOGS","Carvalho, Alessandra Cristina Francischini de, Pacheco, Maria Rita, Baraldi-Artoni, Silvana Martinez, Girardi, Annita Morais","Ciência Animal Brasileira; 16(2); 225-234","Ciência Animal Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912015000200225&lang=pt" 
"S0187-73722015000100003-mex","Regularización y derecho a la vivienda: Un caso del área metropolitana de Monterrey","Valles Acosta, Yenisey, Infante Bonfiglio, José María","Frontera norte; 27(53); 63-87","Frontera norte","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73722015000100003&lang=pt" 
"S0187-73722015000100001-mex","Immigrants and Cross-Border Workers in the U.S.-Mexico Border Region","Orraca Romano, Pedro Paulo","Frontera norte; 27(53); 5-34","Frontera norte","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73722015000100001&lang=pt" 
"S0187-73722015000100006-mex","Comportamiento sectorial del empleo en el condado de Cameron, Texas, 2007-2011","Vera Vázquez, Rodrigo","Frontera norte; 27(53); 147-176","Frontera norte","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73722015000100006&lang=pt" 
"S0187-73722015000100007-mex","Income Differences on Mexico&#039;s Northern Border: A Perspective on Formal and Informal Employment","Varela Llamas, Rogelio","Frontera norte; 27(53); 177-203","Frontera norte","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73722015000100007&lang=pt" 
"S0187-73722015000100004-mex","Gestión y cultura del agua en Nuevo Laredo, Tamaulipas","Frausto Ortega, Jesús","Frontera norte; 27(53); 89-114","Frontera norte","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73722015000100004&lang=pt" 
"S0187-73722015000100005-mex","Emprendimientos de micro y pequeñas empresas mexicanas en un escenario local de crisis económica: El caso de Baja California, 2008-2011","Mungaray Lagarda, Alejandro, Osuna Millán, José Guadalupe, Ramírez Urquidy, Martín, Ramírez Angulo, Natanael, Escamilla Díaz, Antonio","Frontera norte; 27(53); 115-146","Frontera norte","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73722015000100005&lang=pt" 
"S0187-73722015000100010-mex","Sed de mal: Feminicidio, jóvenes y exclusión social","Monárrez Fragoso, Julia","Frontera norte; 27(53); 217-220","Frontera norte","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73722015000100010&lang=pt" 
"S0188-252X2015000100006-mex","El papel de las emociones en la incitación al consumo: Análisis de un programa radiofónico de corte religioso","Gutiérrez Vidrio, Silvia, Reyna Ruiz, Margarita","Comunicación y sociedad; (23); 125-147","Comunicación y sociedad","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2015000100006&lang=pt" 
"S0188-252X2015000100007-mex","Media y género: Discusiones en torno al contrato comunicacional de un observatorio feminista","Candida Rizzotto, Carla, Nunes Larangeira, Álvaro","Comunicación y sociedad; (23); 149-170","Comunicación y sociedad","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2015000100007&lang=pt" 
"S0188-252X2015000100012-mex","Diversidad y desigualdad en las geografías mediáticas: la búsqueda de los sentidos sociales de las prácticas mediáticas","Palacios Gámaz, Ana Berónica","Comunicación y sociedad; (23); 247-253","Comunicación y sociedad","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2015000100012&lang=pt" 
"S0188-252X2015000100013-mex","Cuando el rock mexicano se convierte en un espacio político","Zires, Margarita","Comunicación y sociedad; (23); 255-260","Comunicación y sociedad","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2015000100013&lang=pt" 
"S0188-252X2015000100010-mex","Estado, mercado y medios de comunicación en el capitalismo neoliberal","Schleifer, Pablo","Comunicación y sociedad; (23); 215-238","Comunicación y sociedad","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2015000100010&lang=pt" 
"S0188-252X2015000100011-mex","Discusiones sobre calidad periodística: Una tarea apremiante","Rizo García, Marta","Comunicación y sociedad; (23); 239-245","Comunicación y sociedad","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2015000100011&lang=pt" 
"S0188-252X2015000100014-mex","Redescubriendo el poder transformador de la comunicación para el cambio social en la era del Big Data","Treré, Emiliano","Comunicación y sociedad; (23); 261-265","Comunicación y sociedad","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2015000100014&lang=pt" 
"S0188-252X2015000100009-mex","Estudiar en Internet 2.0.: Prácticas de jóvenes universitarios de la Ciudad de Buenos Aires","Linne, Joaquín","Comunicación y sociedad; (23); 195-213","Comunicación y sociedad","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2015000100009&lang=pt" 
"S0188-252X2015000100008-mex","Medios indígenas transnacionales: el fomento del cosmopolitismo desde abajo","Mercado, Antonieta","Comunicación y sociedad; (23); 171-193","Comunicación y sociedad","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2015000100008&lang=pt" 
"S0188-252X2015000100001-mex","Presentación","Fuentes Navarro, Raúl","Comunicación y sociedad; (23); 7-9","Comunicación y sociedad","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2015000100001&lang=pt" 
"S0188-252X2015000100003-mex","La teoría de la comunicación como matriz práctica para la resolución de conflictos","García Jiménez, Leonarda","Comunicación y sociedad; (23); 45-65","Comunicación y sociedad","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2015000100003&lang=pt" 
"S0188-252X2015000100002-mex","Historia, teoría e investigación de la comunicación","Vidales Gonzáles, Carlos","Comunicación y sociedad; (23); 11-43","Comunicación y sociedad","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2015000100002&lang=pt" 
"S0188-252X2015000100005-mex","Interactividad y democracia deliberativa en el periodismo digital en México","Frankenberg, Lorena","Comunicación y sociedad; (23); 97-123","Comunicación y sociedad","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2015000100005&lang=pt" 
"S0188-252X2015000100004-mex","La política como debate temático o estratégico. Framing de la campaña electoral mexicana de 2012 en la prensa digital","Muñiz, Carlos","Comunicación y sociedad; (23); 67-95","Comunicación y sociedad","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2015000100004&lang=pt" 
"S1405-10792015000100007-mex","Un sistema educativo a la sombra: Las tutorías privadas","Guízar Montero, Javier Adrián","Gestión y política pública; 24(1); 271-274","Gestión y política pública","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-10792015000100007&lang=pt" 
