"S0185-16592012000300001-mex","Comentario editorial","Escalante Gonzalbo, María de la Paloma","Cuicuilco; 19(55); 6-7","Cuicuilco","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592012000300001&lang=pt" 
"S0185-16592012000300007-mex","Presentación","Peña, Francisco de la, Torre, Renée de la","Cuicuilco; 19(55); 123-126","Cuicuilco","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592012000300007&lang=pt" 
"S2007-25382012000200013-mex","Modos de subjetivación","Farías Rangel, Gerardo","Valenciana; 5(10); 246-250","Valenciana","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382012000200013&lang=pt" 
"S2007-25382012000200003-mex","Elsinore: un cuaderno de escritura","Salazar Torres, Fernando","Valenciana; 5(10); 61-84","Valenciana","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382012000200003&lang=pt" 
"S2007-25382012000200005-mex","José María Bustillos, casi incorpóreo","Pascual Gay, Juan","Valenciana; 5(10); 113-134","Valenciana","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382012000200005&lang=pt" 
"S2007-25382012000200001-mex","El espacio del gato: Juan García Ponce en el cuento hispanoamericano","Reyes Vázquez, Juan Carlos","Valenciana; 5(10); 7-34","Valenciana","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382012000200001&lang=pt" 
"S2007-25382012000200002-mex","Hacia una literatura de disidencia sexual en México con dos Bildungsromane bisexuales: Púrpura, de Ana García Bergua, y Fruta verde, de Enrique Serna","Bisbey, Brandon Patrick","Valenciana; 5(10); 35-59","Valenciana","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382012000200002&lang=pt" 
"S2007-25382012000200004-mex","Una relación de amor-rechazo: Elías Nandino y Contemporáneos","Solórzano Esqueda, Lilia","Valenciana; 5(10); 85-111","Valenciana","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382012000200004&lang=pt" 
"S2007-25382012000200006-mex","Tarjetas de presentación e identidad: Las colecciones de relatos integrados desde los umbrales","Sánchez Carbó, José","Valenciana; 5(10); 135-152","Valenciana","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382012000200006&lang=pt" 
"S2007-25382012000200007-mex","Cuerpo, trópico y tiempo: elementos de creación identitaria en la poesía de Nicolás Guillén","Farías Rangel, Gerardo","Valenciana; 5(10); 155-181","Valenciana","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382012000200007&lang=pt" 
"S2007-25382012000200011-mex","Metafísica y delirio. El Canto a un dios mineral de Jorge Cuesta","Sánchez, José Israel","Valenciana; 5(10); 237-239","Valenciana","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382012000200011&lang=pt" 
"S2007-25382012000200010-mex","Sergio Pitol, ensayista","Corral, Elizabeth","Valenciana; 5(10); 233-236","Valenciana","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382012000200010&lang=pt" 
"S2007-25382012000200008-mex","1922: acercamiento a los contextos y alrededores de Trilce","Rodríguez Sánchez, Diana","Valenciana; 5(10); 183-209","Valenciana","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382012000200008&lang=pt" 
"S2007-25382012000200009-mex","El sueño y la muerte en Nostalgia de la muerte, de Xavier Villaurrutia, o de cómo definirse por la indefinición","Dorantes Moreno, Adriana Irais","Valenciana; 5(10); 211-231","Valenciana","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382012000200009&lang=pt" 
"S2007-25382012000200012-mex","La risa en la literatura mexicana: apuntes de poética","Balderas Chacón, Tania","Valenciana; 5(10); 240-245","Valenciana","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382012000200012&lang=pt" 
"S0185-25232012000200010-mex","Piratas y contrabandistas de ambas Indias (1693)","Valdez-Bubnov, Iván","Estudios de historia novohispana; (47); 218-226","Estudios de historia novohispana","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-25232012000200010&lang=pt" 
"S0185-25232012000200011-mex","","Cuadriello, Jaime","Estudios de historia novohispana; (47); 227-239","Estudios de historia novohispana","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-25232012000200011&lang=pt" 
"S0185-25232012000200001-mex","La comunidad de la Facultad de Medicina de la Real Universidad de México en los siglos XVI y XVII a través de las fuentes de archivo","Martínez Hernández, Gerardo","Estudios de historia novohispana; (47); 3-44","Estudios de historia novohispana","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-25232012000200001&lang=pt" 
"S0185-25232012000200003-mex","Modernidad y tradición, ciencia y teología: Francisco Javier Alegre y las Institutionum theologicarum","Mayer, Alicia","Estudios de historia novohispana; (47); 93-126","Estudios de historia novohispana","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-25232012000200003&lang=pt" 
"S2007-249X2012000200012-mex","La octava edición del NATCC: Cada cabo, un oficio. Uniendo esfuerzos para la conservación de textiles en el siglo XXI","Rubín de la Borbolla Flores, Natalia, Chávez Lozano, Marco Valente","Intervención (México DF); 3(6); 79-82","Intervención (México DF)","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-249X2012000200012&lang=pt" 
"S2007-249X2012000200013-mex","Tiempos Violentos: Reinterpretando la Colección del Museo de Arte Carrillo Gil","Rodríguez Mortellaro, Itzel Alejandra","Intervención (México DF); 3(6); 83-87","Intervención (México DF)","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-249X2012000200013&lang=pt" 
"S2007-249X2012000200010-mex","Estancia de perfeccionamiento en el Instituto Real de Patrimonio Artístico (KIK-IRPA) de Bélgica: apuntes y reflexiones","Jaspersen, Giovana","Intervención (México DF); 3(6); 70-75","Intervención (México DF)","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-249X2012000200010&lang=pt" 
"S2007-249X2012000200011-mex","Paper and Water: cómo acercar la ciencia a la práctica de la restauración","Muñoz Viñas, Salvador","Intervención (México DF); 3(6); 76-78","Intervención (México DF)","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-249X2012000200011&lang=pt" 
"S2007-249X2012000200005-mex","La Joya, Veracruz, un sitio prehispánico construido con tierra: sistemas constructivos y pruebas de preservación en trópico húmedo","Daneels, Annick, Guerrero, Luis","Intervención (México DF); 3(6); 34-43","Intervención (México DF)","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-249X2012000200005&lang=pt" 
"S2007-249X2012000200004-mex","Alteración de hilos de bordados de seda: modificaciones morfológicas, de color y resistencia mecánica","Contreras Vargas, Jannen, Mainou Cervantes, Luisa, Antuna Bizarro, Silvia","Intervención (México DF); 3(6); 26-33","Intervención (México DF)","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-249X2012000200004&lang=pt" 
"S2007-249X2012000200007-mex","World Monuments Fund: protegiendo tesoros patrimoniales","","Intervención (México DF); 3(6); 48-54","Intervención (México DF)","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-249X2012000200007&lang=pt" 
"S2007-249X2012000200006-mex","La restauración de los sahumadores de la ofrenda 130 del Templo Mayor: una puerta al conocimiento de la técnica de manufactura","","Intervención (México DF); 3(6); 44-47","Intervención (México DF)","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-249X2012000200006&lang=pt" 
"S2007-249X2012000200001-mex","Editorial","Cimadevilla Cervera, Ilse, González Tirado, Carolusa, Medina-González, Isabel","Intervención (México DF); 3(6); 3-5","Intervención (México DF)","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-249X2012000200001&lang=pt" 
