"S1809-29502012000200005-scl","Respostas fisiológicas de recém-nascidos pré-termo submetidos ao Metódo Mãe-Canguru e a posição prona","Olmedo, Maiara Dantas, Gabas, Giselle dos Santos, Merey, Leila Simone Foerster, Souza, Ligia Stein de, Muller, Karla de Toledo Candido, Santos, Mara Lisiane de Moraes dos, Marques, Cassia Fernandes","Fisioterapia e Pesquisa; 19(2); 115-121","Fisioterapia e Pesquisa","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502012000200005&lang=pt" 
"S1809-29502012000200008-scl","Benefícios do decúbito ventral associado ao CPAP em recém-nascidos prematuros","Lanza, Fernanda de Cordoba, Barcellos, Patrícia Gombai, Dal Corso, Simone","Fisioterapia e Pesquisa; 19(2); 135-140","Fisioterapia e Pesquisa","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502012000200008&lang=pt" 
"S1809-29502012000200010-scl","Efeitos do treinamento muscular inspiratório em universitários tabagistas e não tabagistas","Zanoni, Camila Tatiana, Rodrigues, Camila Mendes Castanho, Mariano, Daniele, Suzan, Ana Beatriz Biagioli Manoel, Boaventura, Luiz Carlos, Galvão, Fábio","Fisioterapia e Pesquisa; 19(2); 147-152","Fisioterapia e Pesquisa","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502012000200010&lang=pt" 
"S1809-29502012000200011-scl","Efeito bactericida do gerador de alta frequência na cultura de Staphylococcus aureus","Martins, Andiara, Silva, Josiceli Telles da, Graciola, Laureane, Fréz, Andersom Ricardo, Ruaro, João Afonso, Marquetti, Maria da Glória Karan","Fisioterapia e Pesquisa; 19(2); 153-157","Fisioterapia e Pesquisa","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502012000200011&lang=pt" 
"S1809-29502012000200013-scl","Mensuração do ângulo articular do cotovelo no teste de tensão neural em indivíduos com hanseníase","Scheibe, Débora, Oliveira, Jaqueline Francieli Pacheco de, Gonçalves, Sibelly Blum, Gomes, Anna Raquel Silveira, Macedo, Ana Carolina Brandt de","Fisioterapia e Pesquisa; 19(2); 165-170","Fisioterapia e Pesquisa","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502012000200013&lang=pt" 
"S1809-29502012000200014-scl","Preferência podal em lactentes com síndrome de Down: fatores extrínsecos e intrínsecos","Santos, Gabriela Lopes dos, Bueno, Thaís Bortolini, Tudella, Eloisa, Dionísio, Jadiane","Fisioterapia e Pesquisa; 19(2); 171-177","Fisioterapia e Pesquisa","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502012000200014&lang=pt" 
"S1809-29502012000200015-scl","Pressão expiratória positiva nas vias aéreas não reproduz as respostas de frequência cardíaca à manobra de Valsalva em homens jovens saudáveis","Pissinato, Isabella Gracindo, Karsten, Marlus, Neves, Laura Maria Tomazi, Minatel, Vinicius, Borghi-Silva, Audrey, Catai, Aparecida Maria","Fisioterapia e Pesquisa; 19(2); 178-184","Fisioterapia e Pesquisa","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502012000200015&lang=pt" 
"S0104-59702012000200002-scl","A Terra &#039;quente&#039; na imprensa: confiabilidade de notícias sobre aquecimento global","Carneiro, Celso Dal Ré, Toniolo, João Cláudio","História, Ciências, Saúde-Manguinhos; 19(2); 369-390","História, Ciências, Saúde-Manguinhos","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702012000200002&lang=pt" 
"S0103-65642012000200003-scl","Que importância tem a dimensão econômica para a psicanálise contemporânea?: um estudo aprofundado sobre o objeto primário e a ambivalência das pulsões em Freud","De Martini, André, Coelho Junior, Nelson Ernesto","Psicologia USP; 23(2); 275-302","Psicologia USP","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642012000200003&lang=pt" 
"S0103-65642012000200004-scl","Possibilidades éticos-estéticas da perversão: a sexualidade perverso-polimorfa como prática de liberdade em Marcuse","Hilário, Leomir Cardoso, Cunha, Eduardo Leal","Psicologia USP; 23(2); 303-326","Psicologia USP","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642012000200004&lang=pt" 
"S0103-65642012000200007-scl","No limiar do mundo visível: a noção de esquema corporal nos cursos de Merleau-Ponty na Sorbonne","Verissimo, Danilo Saretta","Psicologia USP; 23(2); 367-394","Psicologia USP","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642012000200007&lang=pt" 
"S0103-65642012000200008-scl","Violência sexual contra meninos: dados epidemiológicos, características e consequências","Hohendorff, Jean Von, Habigzang, Luísa Fernanda, Koller, Silvia Helena","Psicologia USP; 23(2); 395-416","Psicologia USP","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642012000200008&lang=pt" 
"S0103-65642012000200002-scl","Genealogia da intersubjetividade e figurabilidade do afeto: Winnicott e Merleau-Ponty","Ayouch, Thamy","Psicologia USP; 23(2); 253-274","Psicologia USP","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642012000200002&lang=pt" 
"S1517-83822012000200020-scl","Diagnosis of paratuberculosis in cattle: microbiological culture, serology and PCR","Carvalho, Isabel A., Campos, Vinicius E. B., Souza, Iana M., Zanardo, Larissa G., Ribeiro Filho, Jose D., Gomes, Marcos J. P., Moreira, Maria A. S.","Brazilian Journal of Microbiology; 43(2); 581-585","Brazilian Journal of Microbiology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822012000200020&lang=pt" 
"S1517-83822012000200035-scl","Multilocus sequence analysis (MLSA) of Bradyrhizobium strains: revealing high diversity of tropical diazotrophic symbiotic bacteria","Delamuta, Jakeline Renata Marçon, Ribeiro, Renan Augusto, Menna, Pâmela, Bangel, Eliane Villamil, Hungria, Mariangela","Brazilian Journal of Microbiology; 43(2); 698-710","Brazilian Journal of Microbiology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822012000200035&lang=pt" 
"S1517-83822012000200039-scl","Correlation between ebv co-infection and HPV16 genome integrity in Tunisian cervical cancer patients","Kahla, Saloua, Oueslati, Sarra, Achour, Mongia, Kochbati, Lotfi, Chanoufi, Mohamed Badis, Maalej, Mongi, Oueslati, Ridha","Brazilian Journal of Microbiology; 43(2); 744-753","Brazilian Journal of Microbiology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822012000200039&lang=pt" 
