"S0006-87052007000200008-scl","Produtividade de grãos e exportação de nutrientes de cultivares de arroz irrigadas por aspersão em conseqüência da época de semeadura","Crusciol, Carlos Alexandre Costa, Soratto, Rogério Peres, Arf, Orivaldo","Bragantia; 66(2); 247-257","Bragantia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052007000200008&lang=pt" 
"S0006-87052007000200009-scl","Estado nutricional e produção do capim-pé-de-galinha e da soja cultivada em sucessão em sistema antecipado de adubação","Francisco, Eros Artur Bohac, Câmara, Gil Miguel de Sousa, Segatelli, Cláudio Roberto","Bragantia; 66(2); 259-266","Bragantia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052007000200009&lang=pt" 
"S0006-87052007000200010-scl","Avaliação de caracteres quantitativos relacionados com o crescimento vegetativo entre cultivares de café arábica de porte baixo","Freitas, Zélia Maria Travassos Sarinho de, Oliveira, Francisco José de, Carvalho, Samuel Pereira de, Santos, Venézio Felipe dos, Santos, José Peroba de Oliveira","Bragantia; 66(2); 267-275","Bragantia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052007000200010&lang=pt" 
"S0006-87052007000200011-scl","Influência de seis porta-enxertos sobre a produção de clones superiores de seringueira","Cardinal, Átila Bento Beleti, Gonçalves, Paulo de Souza, Martins, Antônio Lúcio Mello","Bragantia; 66(2); 277-284","Bragantia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052007000200011&lang=pt" 
"S0006-87052007000200012-scl","Weather, cultivar and density-dependent processes influence on aphid in alfalfa","Silva, Alexandre de Almeida e, Varanda, Elenice Mouro, Rassini, Joaquim Bartolomeu","Bragantia; 66(2); 285-290","Bragantia","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052007000200012&lang=pt" 
"S0006-87052007000200013-scl","Agregação do solo em área que recebeu lodo de esgoto","Maria, Isabella Clerici de, Kocssi, Mariana Anselmi, Dechen, Sonia Carmela Falci","Bragantia; 66(2); 291-298","Bragantia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052007000200013&lang=pt" 
"S0006-87052007000200014-scl","Efeito de práticas culturais na conversão e no balanço energéticos","Santos, Henrique Pereira dos, Tomm, Gilberto Omar, Spera, Silvio Tulio, Ávila, Alexandre","Bragantia; 66(2); 299-306","Bragantia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052007000200014&lang=pt" 
"S0006-87052007000200015-scl","Fertilidade, matéria orgânica e substâncias húmicas em solos antropogênicos da Amazônia Ocidental","Moreira, Adônis","Bragantia; 66(2); 307-315","Bragantia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052007000200015&lang=pt" 
"S0006-87052007000200016-scl","Produtividade de cultivares de arroz irrigado resultante da aplicação de doses de nitrogênio","Freitas, José Guilherme de, Cantarella, Heitor, Salomon, Marcus Vinicius, Malavolta, Vanda Maria Angeli, Castro, Lúcia Helena Signori Melo de, Gallo, Paulo Boller, Azzini, Luiz Ernesto","Bragantia; 66(2); 317-325","Bragantia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052007000200016&lang=pt" 
"S0006-87052007000200018-scl","Padronização de metodologia para avaliação do tempo de cozimento dos grãos de feijão","Ribeiro, Nerinéia Dalfollo, Cargnelutti Filho, Alberto, Poersch, Nerison Luiz, Rosa, Simone Saydelles da","Bragantia; 66(2); 335-346","Bragantia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052007000200018&lang=pt" 
