"S1516-14392014000400034-scl","Effect of curing temperature and architectural (monolayer and bilayer) of hybrid films modified with polyethylene glycol for the corrosion protection on tinplate","Kunst, Sandra Raquel, Beltrami, Lilian Vanessa Rossa, Cardoso, Henrique Ribeiro Piaggio, Veja, Maria Rita Ortega, Baldin, Estela Knopp Kerstner, Menezes, Tiago Lemos, Malfatti, Célia de Fraga","Materials Research; 17(4); 1071-1081","Materials Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392014000400034&lang=pt" 
"S0038-23532014000400014-sza","Observed and modelled trends in rainfall and temperature for South Africa: 1960-2010","MacKellar, Neil, New, Mark, Jack, Chris","South African Journal of Science; 110(7-8); 1-13","South African Journal of Science","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532014000400014&lang=pt" 
"S0038-23532014000400015-sza","Policy required for entry of DNA profiles onto the National Forensic DNA Database of South Africa","Heathfield, Laura J.","South African Journal of Science; 110(7-8); 1-3","South African Journal of Science","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532014000400015&lang=pt" 
"S0038-23532014000400016-sza","Climate and the mfecane","Garstang, M, Coleman, AD, Therrell, M","South African Journal of Science; 110(7-8); 1-1","South African Journal of Science","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532014000400016&lang=pt" 
"S0038-23532014000400010-sza","An outline of possible pre-course diagnostics for differential calculus","Maharaj, Aneshkumar, Wagh, Vivek","South African Journal of Science; 110(7-8); 1-7","South African Journal of Science","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532014000400010&lang=pt" 
"S0038-23532014000400011-sza","Craniodental continuity and change between Iron Age peoples and their descendants","Warren, Kerryn A., Hall, Simon, Ackermann, Rebecca R.","South African Journal of Science; 110(7-8); 1-11","South African Journal of Science","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532014000400011&lang=pt" 
"S0038-23532014000400012-sza","Relationships between ecological infrastructure and the economy: The case of a fishery","Crafford, Jacobus G., Hassan, Rashid M.","South African Journal of Science; 110(7-8); 1-8","South African Journal of Science","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532014000400012&lang=pt" 
"S0038-23532014000400013-sza","Assessing leaf spectral properties of Phragmites australis impacted by acid mine drainage","van Deventer, Heidi, Cho, Moses A.","South African Journal of Science; 110(7-8); 1-12","South African Journal of Science","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532014000400013&lang=pt" 
"S0038-23532014000400009-sza","Arsenic residues in soil at cattle dip tanks in the Vhembe district, Limpopo Province, South Africa","Ramudzuli, Marubini R., Horn, André C.","South African Journal of Science; 110(7-8); 1-7","South African Journal of Science","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532014000400009&lang=pt" 
"S0038-23532014000400002-sza","The ABCs of an NRF rating","Wingfield, Brenda","South African Journal of Science; 110(7-8); 1-2","South African Journal of Science","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532014000400002&lang=pt" 
"S0038-23532014000400001-sza","What&#039;s so bad about sound opinions?","Butler-Adams, John","South African Journal of Science; 110(7-8); 1-1","South African Journal of Science","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532014000400001&lang=pt" 
"S0038-23532014000400007-sza","A concise review of the applications of NiTi shape-memory alloys in composite materials","Sanusi, Kazeem O., Ayodele, Olukayode L., Khan, Mohamed T.E.","South African Journal of Science; 110(7-8); 1-5","South African Journal of Science","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532014000400007&lang=pt" 
"S0038-23532014000400006-sza","Invasion science for society: A decade of contributions from the Centre for Invasion Biology","van Wilgen, Brian W., Davies, Sarah J., Richardson, David M.","South African Journal of Science; 110(7-8); 1-12","South African Journal of Science","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532014000400006&lang=pt" 
