"S2175-91462016000200152-scl","Micro-motion Recognition of Spatial Cone Target Based on ISAR Image Sequences","Shu, Changyong, Xue, Fengli, Zhang, Shengjun, Huang, Peiling, Ji, Jinzu","Journal of Aerospace Technology and Management; 8(2); 152-162","Journal of Aerospace Technology and Management","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-91462016000200152&lang=pt" 
"S1690-32932016000100009-ven","VIOLENCIA JUVENIL DELINCUENCIAL EN LATINOAMÉRICA: UN DESAFÍO ÉTICO DE LAS SOCIEDADES DEL SIGLO XXI","Terán, Iris","Comunidad y Salud; 14(1); 61-66","Comunidad y Salud","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-32932016000100009&lang=pt" 
"S1690-32932016000100005-ven","ESTANDARIZACIÓN DE TÉCNICAS PARA EL DIAGNÓSTICO MOLECULAR DE FLAVIVIRUS Y ALFAVIRUS","Reyes O, Jesús, Comach P, Guillermo, Franco, Leticia, Camacho G, Daría","Comunidad y Salud; 14(1); 27-32","Comunidad y Salud","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-32932016000100005&lang=pt" 
"S1690-32932016000100007-ven","PERFIL CLÍNICO EPIDEMIOLÓGICO DE EMBARAZADAS CON CHIKUNGUNYA BAJO VIGILANCIA EPIDEMIOLÓGICA EN CORPOSALUD, ESTADO ARAGUA. AÑO 2014","Rivas D, Ramón, Rodríguez, José A., Rojas, Alexandra, Rodríguez, Rosanny, Rumbos, María, Romero, Daniela, Herrera, Mercedes","Comunidad y Salud; 14(1); 41-51","Comunidad y Salud","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-32932016000100007&lang=pt" 
"S1690-32932016000100010-ven","LA LLEGADA DEL VIRUS ZIKA A VENEZUELA Y SU POSIBLE HUELLA EN LA SALUD MATERNA-INFANTIL. UNA DISCUSIÓN IMPOSTERGABLE","Zoghbi, Normig, López, Ángela","Comunidad y Salud; 14(1); 67-73","Comunidad y Salud","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-32932016000100010&lang=pt" 
"S1690-32932016000100008-ven","CÁNCER DE MAMA HEREDITARIO","Fernández T, Ángel, Reigosa Y, Aldo","Comunidad y Salud; 14(1); 52-60","Comunidad y Salud","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-32932016000100008&lang=pt" 
"S0100-72032016000600293-scl","Depressive Symptoms in Pregnancy: The Influence of Social, Psychological and Obstetric Aspects","Moraes, Eleomar Vilela de, Campos, Rodolfo Nunes, Avelino, Mariza Martins","Revista Brasileira de Ginecologia e Obstetrícia; 38(6); 293-300","Revista Brasileira de Ginecologia e Obstetrícia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032016000600293&lang=pt" 
"S2175-91462016000200193-scl","An Implementation of Self-Organizing Maps for Airfoil Design Exploration via Multi-Objective Optimization Technique","Jung, SungKi, Choi, Won, Martins-Filho, Luiz S., Madeira, Fernando","Journal of Aerospace Technology and Management; 8(2); 193-202","Journal of Aerospace Technology and Management","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-91462016000200193&lang=pt" 
"S2175-91462016000200232-scl","Anticipating the Need for New Skills for the Future Aerospace and Aviation Professionals","Lappas, Ilias, Kourousis, Kyriakos I.","Journal of Aerospace Technology and Management; 8(2); 232-241","Journal of Aerospace Technology and Management","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-91462016000200232&lang=pt" 
"S0100-72032016000600280-scl","EZH2 Protein Expression and Tumor Response to Neoadjuvant Chemotherapy in Locally Advanced Breast Cancer","Neusquen, Lucienne Pereira Del Grossi, Filassi, José Roberto, Fristachi, Carlos Elias, Carvalho, Kátia Candido, Dória, Maíra Teixeira, Soares Júnior, José Maria, Piato, José Roberto Morales","Revista Brasileira de Ginecologia e Obstetrícia; 38(6); 280-286","Revista Brasileira de Ginecologia e Obstetrícia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032016000600280&lang=pt" 
