"S0188-76532011000200009-mex","¿Ilegalidad justificada?: clientelismo controlado en la administración chilena","Moriconi Bezerra, Marcelo","Perfiles latinoamericanos; 19(38); 227-247","Perfiles latinoamericanos","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-76532011000200009&lang=pt" 
"S0864-34662011000400005-cub","Criterios e indicadores para la caracterización de la integración en el sistema nacional de salud","López Puig, Pedro, Torres Esperón, Maricela, Segredo Pérez, Alina María, Alonso Carbonell, Liuba, Martínez Trujillo, Nelcy","Revista Cubana de Salud Pública; 37(4); 394-415","Revista Cubana de Salud Pública","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662011000400005&lang=pt" 
"S0864-34662011000400009-cub","Equidad e inversión en salud pública de la República del Perú","Monje Vargas, José Antonio","Revista Cubana de Salud Pública; 37(4); 452-461","Revista Cubana de Salud Pública","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662011000400009&lang=pt" 
"S0864-34662011000400006-cub","Características de gestantes y puérperas con enfermedad de tipo influenza durante la pandemia por A H1N1","Serra Valdés, Miguel A, Sáez Cantero, Viviana, O&#039;Farril Lazo, Rosario","Revista Cubana de Salud Pública; 37(4); 416-421","Revista Cubana de Salud Pública","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662011000400006&lang=pt" 
"S0864-34662011000400011-cub","Prevalencia de prácticas sexuales de riesgo en población adulta de Colombia","Varela Arévalo, María Teresa, Correa Sánchez, Diego, Arrivillaga Quintero, Marcela, Zapata Ossa, Helmer de Jesús, Hoyos Hernández, Paula Andrea, Tovar Cuevas, Luis Miguel","Revista Cubana de Salud Pública; 37(4); 472-481","Revista Cubana de Salud Pública","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662011000400011&lang=pt" 
"S0864-34662011000400003-cub","Reflexiones sobre salud pública internacional","González Fernández, Antonio","Revista Cubana de Salud Pública; 37(4); 372-379","Revista Cubana de Salud Pública","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662011000400003&lang=pt" 
"S0864-34662011000400014-cub","Intervención comunitaria en el dengue como una necesidad social","Hoyos Rivera, Antulio","Revista Cubana de Salud Pública; 37(4); 500-509","Revista Cubana de Salud Pública","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662011000400014&lang=pt" 
"S0864-34662011000400013-cub","Enfermedades crónicas y vida cotidiana","Ledón Llanes, Loraine","Revista Cubana de Salud Pública; 37(4); 488-499","Revista Cubana de Salud Pública","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662011000400013&lang=pt" 
"S0100-879X2011001200008-scl","Interaction between human cytomegalovirus UL136 protein and ATP1B1 protein","Cui, Xin, Sun, Zheng-Rong, Ren, Gao-Wei, Wang, Gui-Li, Qi, Ying, Ma, Yan-Ping, Ruan, Qiang","Brazilian Journal of Medical and Biological Research; 44(12); 1251-1255","Brazilian Journal of Medical and Biological Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2011001200008&lang=pt" 
"S0100-879X2011001200011-scl","Plasma von Willebrand factor as a predictor of survival in pulmonary arterial hypertension associated with congenital heart disease","Lopes, A.A., Barreto, A.C., Maeda, N.Y., Cícero, C., Soares, R.P.S., Bydlowski, S.P., Rich, S.","Brazilian Journal of Medical and Biological Research; 44(12); 1269-1275","Brazilian Journal of Medical and Biological Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2011001200011&lang=pt" 
"S0100-879X2011001200009-scl","Expression of the chemokine receptor CXCR4 on lymphocytes of leprosy patients","Mendonça, V.A., Alvim de Melo, G.E.B., Araújo, M.G., Borges, V.O., Costa, R.D., Martins-Filho, O.A., Teixeira- Carvalho, A., Sathler-Avelar, R., Teixeira, M.M., Teixeira, A.L.","Brazilian Journal of Medical and Biological Research; 44(12); 1256-1260","Brazilian Journal of Medical and Biological Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2011001200009&lang=pt" 
"S0100-879X2011001200007-scl","The effect of microgravity on tissue structure and function of rat testis","Ding, Ye, Tang, Jin, Zou, Jun, She, Ruiping, Wang, Yinghua, Yue, Zhuo, Tian, Jijing, Xia, Kangkang, Yin, Jun, Wang, Desheng","Brazilian Journal of Medical and Biological Research; 44(12); 1243-1250","Brazilian Journal of Medical and Biological Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2011001200007&lang=pt" 
"S0100-879X2011001200001-scl","The use of genes for performance enhancement: doping or therapy?","Oliveira, R.S., Collares, T.F., Smith, K.R., Collares, T.V., Seixas, F.K.","Brazilian Journal of Medical and Biological Research; 44(12); 1194-1201","Brazilian Journal of Medical and Biological Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2011001200001&lang=pt" 
"S0100-879X2011001200013-scl","Markers of insulin resistance and sedentary lifestyle are predictors of preeclampsia in women with adverse obstetric results","Hoirisch-Clapauch, S., Benchimol-Barbosa, P.R.","Brazilian Journal of Medical and Biological Research; 44(12); 1285-1290","Brazilian Journal of Medical and Biological Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2011001200013&lang=pt" 
"S0100-879X2011001200002-scl","The Streptococcus mutans GlnR protein exhibits an increased affinity for the glnRA operon promoter when bound to GlnK","Castellen, P., Rego, F.G.M., Portugal, M.E.G., Benelli, E.M.","Brazilian Journal of Medical and Biological Research; 44(12); 1202-1208","Brazilian Journal of Medical and Biological Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2011001200002&lang=pt" 
"S0100-879X2011001200010-scl","The response of social anxiety disorder patients to threat scenarios differs from that of healthy controls","Mesquita, S.C.V., Shuhama, R., Osório, F.L., Crippa, J.A.S., Loureiro, S.R., Landeira-Fernandez, J., Graeff, F.G., Del-Ben, C.M.","Brazilian Journal of Medical and Biological Research; 44(12); 1261-1268","Brazilian Journal of Medical and Biological Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2011001200010&lang=pt" 
"S0100-879X2011001200003-scl","Production of L1 protein from different types of HPV in Pichia pastoris using an integrative vector","Coimbra, E.C., Gomes, F.B., Campos, J.F., D’arc, M., Carvalho, J.C., Mariz, F.C., Jesus, A.L.S., Stocco, R.C., Beçak, W., Freitas, A.C.","Brazilian Journal of Medical and Biological Research; 44(12); 1209-1214","Brazilian Journal of Medical and Biological Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2011001200003&lang=pt" 
